title,doi,abstract,task
Hand Segmentation with Structured Convolutional Learning,https://doi.org/10.1007/978-3-319-16811-1_45,"the availability of cheap and effective depth sensors has resulted in recent advances in human pose estimation and tracking detailed estimation of hand pose however remains a challenge since fingers are often occluded and may only represent just a few pixels moreover labelled data is difficult to obtain we propose a deep learning basedapproach for hand pose estimation targeting gesture recognition that requires very little labelled data it leverages both unlabeled data and synthetic data from renderings the key to making it work is to integrate structural information not into the model architecture which would slow down inference but into the training objective we show that adding unlabelled realworld samples significantly improves results compared to a purely supervised setting",Other
A functional network estimation method of resting-state fMRI using a hierarchical Markov random field,https://doi.org/10.1016/j.neuroimage.2014.06.001,"we propose a hierarchical markov random field model for estimating both group and subject functional networks simultaneously the model takes into account the withinsubject spatial coherence as well as the betweensubject consistency of the network label maps the statistical dependency between group and subject networks acts as a regularization which helps the network estimation on both layers we use gibbs sampling to approximate the posterior density of the network labels and monte carlo expectation maximization to estimate the model parameters we compare our method with two alternative segmentation methods based on kmeans and normalized cuts using synthetic and real fmri data the experimental results show that our proposed model is able to identify both group and subject functional networks with higher accuracy on synthetic data more robustness and intersession consistency on the real data",Other
Perfect MCMC Sampling in Bayesian MRFs for Uncertainty Estimation in Segmentation,https://doi.org/10.1007/978-3-030-00928-1_76,"typical segmentation methods produce a single optimal solution and fail to inform about i the confidenceuncertainty in the object boundaries or ii alternate closetooptimal solutions to estimate uncertainty some methods intend to sample segmentations from an associated posterior model using markov chain monte carlo mcmc sampling or perturbation models however they cannot guarantee sampling from the true posterior deviating significantly in practice we propose a novel method that guarantees exact mcmc sampling in finite time of multilabel segmentations from generic bayesian markov random field mrf models for exact sampling we propose fills strategy and extend it to generic mrf models via a novel bounding chain algorithm results on simulated data and clinical brain images from 4 classic problems show that our uncertainty estimates gain accuracy over the state of the art",Other
Semi-automated Method for the Glaucoma Monitoring,https://doi.org/10.1007/978-3-319-63754-9_11,"the current trend of computer vision and image processing systems in biomedical field is the application of the computational intelligence ci approaches which include the use of tools as machine learning and soft computing the ci approaches bring a new solution to automatic feature extraction for a particular task based on that techniques we have proposed in this work a semiautomated method for the glaucoma monitoring through retinal images glaucoma is a disease caused by neurodegeneration of the optic nerve leading to blindness it can be assessed by monitoring intraocular pressure iop by the visual field and the aspect of the optic disc ratio cupdisc glaucoma increases the rate of cupdisc cdr which affects the loss of peripheral vision in this work a segmentation method of cups and discs regions is proposed in a semisupervised pixelbased classification paradigm to automate the cupdisc ratio calculation for the concrete medical supervision of the glaucoma disease the idea is to canvas the medical expert for labeling the regions of interest roi three retinal images and automate the segmentation by intelligent region growing based on machine learning a comparative study of semisupervised and supervised methods is carried out in this proposal by mono approaches decision tree and setred and multiclassifiers random forest and coforest our proposition is evaluated on real images of normal and glaucoma cases the obtained results are very promising and demonstrate the efficacy and potency of segmentation by the multiclassifier systems in semiautomatic segmentation",Other
OBJECT-BASED ANALYSIS FOR URBAN LAND COVER MAPPING USING THE INTERIMAGE AND THE SIPINA FREE SOFTWARE PACKAGES,https://doi.org/10.1590/s1982-21702018000100001,"abstract in this work we introduce an objectbased method applied to urban land cover mapping the method is implemented with two opensource tools sipina a data mining software package and interimage an objectbased image analysis system initially segmentation feature extraction and sample selection procedures are performed with interimage in order to reduce the time and subjectivity involved to develop the decision rules in interimage a data mining step is then carried out with sipina in sequence the decision trees delivered by sipina are analysed and encoded into interimage decision rules for the final classification step experiments were conducted using a subset of a geoeye image acquired in january 01 2013 covering the urban portion of the municipality of goianésia brazil five decision tree induction algorithms available in sipina were tested id3 c45 gid3 assistant86 and chaid the tau and kappa coefficients were used to evaluate the results the tau values obtained were in the range of 066 and 070 while those for kappa varied from 065 to 069",Other
Performance Categorization for Personalized Learning in Vocational Training Simulators,https://doi.org/10.1109/icalt.2018.00022,"simulators have been increasingly used at many industries to provide skill training to its trainees or employees a haptics based rebar bending simulator is being used at leading construction training centers in india the simulator collects the realtime training data and uses it to generate accurate assessment reports similar to the manually generated reports to enhance the learning environment the simulator should learn to recognize the differences between the trainee performances and should be capable to model the successive stages of skill learning in this paper we discuss how the timeseries segmentation technique can be applied to extract process relevant data from the training history collected by the rebar bending simulator we applied machine learning methods on this transformed data to model the varying levels of expertise in future these models can be utilized to enhance the simulator to provide personalized feedback and learning experiences",Other
An Entropy-Based Approach to Automatic Detection of Critical Changes in Human-Machine Interaction,https://doi.org/10.1109/coginfocom.2018.8639869,"this paper introduces and exemplifies an entropybased approach to automatic detection of critical changes in flow of humanmachine interaction the underlying intuition is that a critical change is a local phenomenon associated with a dialogue fragment that can be detected by examining patterns of interactional entropy by means of segmentation and thresholding in terms of units of analysis the notion of normalized interactional entropy is introduced at the level of dialogue act types in order to account for the sequential order of dialogue acts in a given dialogue fragment interactional entropy is reevaluated with each ensuing dialogue act the proposed approach is validated for thirtysix dialogues between children and a conversational humanlike robot recorded in therapeutic settings finally the generalizability of the proposed approach is discussed",Other
Plant Disease Detection System for Agricultural Applications in Cloud Using SVM and PSO,https://doi.org/10.1007/978-3-030-24643-3_99,"in agricultural industry disease in plants is very difficult to identify what type of disease affect and how the disease is to treat the infected plant then the information is store in cloud computing for easily accessing the data for farmers whenever they want and learn about the diseases of the plant and treat it very fast without any loss of plants life the latest technology eagriculture service is very important for the development of rural and it contribute the farmers get more knowledge regarding the market place as well as finding varies disease infect the plant by taking image of the affected plant leaves in this paper internet of things capture the disease affected plant image and it is given to the cloud server then the image is preprocessed with top hat filter ostus thresholding segmentation support vector machine svm classifier is used and particle swarm optimization technique is perform for task scheduling by using these techniques execution time and system performance is improved",Other
Three-objective antenna optimization by means of kriging surrogates and domain segmentation,https://doi.org/10.23919/mikon.2018.8405222,"in this paper an optimization framework for multiobjective design of antenna structures is discussed which exploits datadriven surrogates a multiobjective evolutionary algorithm response correction techniques for design refinement as well as generalized domain segmentation the last mechanism is introduced to constrain the design space region subjected to sampling which permits reduction of the number of training data samples required for surrogate model identification the generalized segmentation technique works for any number of design objectives here it is demonstrated using a threeobjective case study of a uwb monopole optimized for best inband reflection minimum gain variability and minimum size the numerical results indicate that segmentation leads to reducing the cost of initial pareto identification by around 21 percent as compared to the conventional surrogateassisted approach",Other
Improving Aspect Identification with Reviews Segmentation,https://doi.org/10.1007/978-3-319-99495-6_35,"aspect identification a key subtask in aspectbased sentiment analysis absa aims to identify aspect categories from online user reviews inspired by the observation that different segments of a review usually express different aspect categories we propose a reviewssegmentationbased method to improve aspect identification specifically we divide a review into several segments according to the sentence structure and then automatically transfer aspect labels from the original review to its derived segments trained with the new constructed segmentlevel dataset a classifier can achieve better performance for aspect identification another contribution of this paper is extracting alignment features which can be leveraged to further improve aspect identification the experimental results show the effectiveness of our proposed method",Other
