"About the data: Exported on Mar 06, 2023. Criteria: '""Deep Learning Techniques for Automatic MRI Cardiac Multi-Structures Segmentation and Diagnosis: Is the Problem Solved?""' in full data; Publication Year is 2023 or 2022 or 2021. © 2023 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals,,,,,,,,,,,
1136,pub.1154305577,10.26599/tst.2022.9010023,,,SUNet++: A Deep Network with Channel Attention for Small-Scale Object Segmentation on 3D Medical Images,"As a deep learning network with an encoder-decoder architecture, UNet and its series of improved versions have been widely used in medical image segmentation with great applications. However, when used to segment targets in 3D medical images such as magnetic resonance imaging (MRI), computed tomography (CT), these models do not model the relevance of images in vertical space, resulting in poor accurate analysis of consecutive slices of the same patient. On the other hand, the large amount of detail lost during the encoding process makes these models incapable of segmenting small-scale tumor targets. Aiming at the scene of small-scale target segmentation in 3D medical images, a fully new neural network model SUNet++ is proposed on the basis of UNet and UNet++. SUNet++ improves the existing models mainly in three aspects: 1) the modeling strategy of slice superposition is used to thoroughly excavate the three dimensional information of the data; 2) by adding an attention mechanism during the decoding process, small scale targets in the picture are retained and amplified; 3) in the up-sampling process, the transposed convolution operation is used to further enhance the effect of the model. In order to verify the effect of the model, we collected and produced a dataset of hyperintensity MRI liver-stage images containing over 400 cases of liver nodules. Experimental results on both public and proprietary datasets demonstrate the superiority of SUNet++ in small-scale target segmentation of three-dimensional medical images.",,,Tsinghua Science & Technology,,,2023-08,2023,,,28,4,628-638,Closed,Article,"Zhang, Lan; Zhang, Kejia; Pan, Haiwei","Zhang, Lan (College of Computer Science and Technology, Harbin Engineering University,Harbin,China,150001); Zhang, Kejia (College of Computer Science and Technology, Harbin Engineering University,Harbin,China,150001); Pan, Haiwei (College of Computer Science and Technology, Harbin Engineering University,Harbin,China,150001)",,"Zhang, Lan (Harbin Engineering University); Zhang, Kejia (Harbin Engineering University); Pan, Haiwei (Harbin Engineering University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1154305577,40 Engineering, 4008 Electrical Engineering,,,,,,,,,,,
958,pub.1155133262,10.1016/j.bspc.2023.104631,,,An EffcientNet-encoder U-Net Joint Residual Refinement Module with Tversky–Kahneman Baroni–Urbani–Buser loss for biomedical image Segmentation,"Quantitative analysis on biomedical images has been on increasing demand nowadays and for modern computer vision approaches. While recently advanced procedures have been enforced, there is still necessity in optimizing network architecture and loss functions. Inspired by the pretrained EfficientNet-B4 and the refinement module in boundary-aware problems, we propose a new two-stage network which is called EffcientNet-encoder U-Net Joint Residual Refinement Module and we create a novel loss function called the Tversky–Kahneman Baroni–Urbani–Buser loss function. The loss function is built on the basement of the Baroni–Urbani–Buser coefficient and the Jaccard–Tanimoto coefficient and reformulated in the Tversky–Kahneman probability-weighting function. We have evaluated our algorithm on the four popular datasets: the 2018 Data Science Bowl Cell Nucleus Segmentation dataset, the Brain Tumor LGG Segmentation dataset, the Skin Lesion ISIC 2018 dataset and the MRI cardiac ACDC dataset. Several comparisons have proved that our proposed approach is noticeably promising and some of the segmentation results provide new state-of-the-art results. The code is available at https://github.com/tswizzle141/An-EffcientNet-encoder-U-Net-Joint-Residual-Refinement-Module-with-TK-BUB-Loss.",This research is funded by Vietnam National Foundation for Science and Technology Development (NAFOSTED) under grant number 102.05–2021.34.,,Biomedical Signal Processing and Control,,,2023-05,2023,,2023-05,83,,104631,Closed,Article,"Nham, Do-Hai-Ninh; Trinh, Minh-Nhat; Nguyen, Viet-Dung; Pham, Van-Truong; Tran, Thi-Thao","Nham, Do-Hai-Ninh (School of Applied Mathematics and Informatics, Hanoi University of Science and Technology, Viet Nam); Trinh, Minh-Nhat (Department of Automation Engineering, School of Electrical and Electronic Engineering, Hanoi University of Science and Technology, Viet Nam); Nguyen, Viet-Dung (School of Applied Mathematics and Informatics, Hanoi University of Science and Technology, Viet Nam); Pham, Van-Truong (Department of Automation Engineering, School of Electrical and Electronic Engineering, Hanoi University of Science and Technology, Viet Nam); Tran, Thi-Thao (Department of Automation Engineering, School of Electrical and Electronic Engineering, Hanoi University of Science and Technology, Viet Nam)","Pham, Van-Truong (Hanoi University of Science and Technology); Tran, Thi-Thao (Hanoi University of Science and Technology)","Nham, Do-Hai-Ninh (Hanoi University of Science and Technology); Trinh, Minh-Nhat (Hanoi University of Science and Technology); Nguyen, Viet-Dung (Hanoi University of Science and Technology); Pham, Van-Truong (Hanoi University of Science and Technology); Tran, Thi-Thao (Hanoi University of Science and Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1155133262,"30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences; 40 Engineering; 4003 Biomedical Engineering",,,,,,,,,,,,
761,pub.1154511176,10.1016/j.patcog.2023.109318,,,Arbitrary Order Total Variation for Deformable Image Registration,"In this work, we investigate image registration in a variational framework and focus on regularization generality and solver efficiency. We first propose a variational model combining the state-of-the-art sum of absolute differences (SAD) and a new arbitrary order total variation regularization term. The main advantage is that this variational model preserves discontinuities in the resultant deformation while being robust to outlier noise. It is however non-trivial to optimize the model due to its non-convexity, non-differentiabilities, and generality in the derivative order. To tackle these, we propose to first apply linearization to the model to formulate a convex objective function and then break down the resultant convex optimization into several point-wise, closed-form subproblems using a fast, over-relaxed alternating direction method of multipliers (ADMM). With this proposed algorithm, we show that solving higher-order variational formulations is similar to solving their lower-order counterparts. Extensive experiments show that our ADMM is significantly more efficient than both the subgradient and primal-dual algorithms particularly when higher-order derivatives are used, and that our new models outperform state-of-the-art methods based on deep learning and free-form deformation. Our code implemented in both Matlab and Pytorch is publicly available at https://github.com/j-duan/AOTV.","Zhaowen Qiu is supported by the Key RD Project of Heilongjiang Province (2022ZX01A30), by the Science and Technology Program of Suzhou (ZXL2021431 and RC2021130), and by the Fundamental Research Funds for the Central Universities (2572020DR10). This research used the UK Biobank Resource under the application number 40119. The GPU computations described in this research were performed using the Baskerville Tier 2 HPC service. Baskerville is funded by the EPSRC and UKRI (EP/T022221/1 and EP/W032244/1) and is operated by Advanced Research Computing at the University of Birmingham. Jinming Duan is partially funded by the BHF Accelerator Award (AA/18/2/34218) and by the Korea Cardiovascular Bioresearch Foundation (CHORUS Seoul 2022). Xi Jia is partially supported by the Chinese Scholarship Council.",,Pattern Recognition,,,2023-05,2023,,2023-05,137,,109318,All OA, Hybrid,Article,"Duan, Jinming; Jia, Xi; Bartlett, Joseph; Lu, Wenqi; Qiu, Zhaowen","Duan, Jinming (School of Computer Science, University of Birmingham, Birmingham, UK; Alan Turing Institute, London, UK); Jia, Xi (School of Computer Science, University of Birmingham, Birmingham, UK); Bartlett, Joseph (School of Computer Science, University of Birmingham, Birmingham, UK; Department of Biomedical Engineering Melbourne Brain Centre Imaging Unit, University of Melbourne, Melbourne, Australia); Lu, Wenqi (Tissue Image Analytics Centre, Department of Computer Science, University of Warwick, Coventry, UK); Qiu, Zhaowen (Institute of Information Computer Engineering, Northeast Forestry University, Harbin, China)","Duan, Jinming (University of Birmingham; The Alan Turing Institute); Qiu, Zhaowen (Northeast Forestry University)","Duan, Jinming (University of Birmingham; The Alan Turing Institute); Jia, Xi (University of Birmingham); Bartlett, Joseph (University of Birmingham; University of Melbourne); Lu, Wenqi (University of Warwick); Qiu, Zhaowen (Northeast Forestry University)",0,0,,,https://doi.org/10.1016/j.patcog.2023.109318,https://app.dimensions.ai/details/publication/pub.1154511176,46 Information and Computing Sciences, 4603 Computer Vision and Multimedia Computation,,,,,,,,,,
1141,pub.1153624193,10.1016/j.artmed.2022.102476,,,Uncertainty-guided mutual consistency learning for semi-supervised medical image segmentation,"Medical image segmentation is a fundamental and critical step in many clinical approaches. Semi-supervised learning has been widely applied to medical image segmentation tasks since it alleviates the heavy burden of acquiring expert-examined annotations and takes the advantage of unlabeled data which is much easier to acquire. Although consistency learning has been proven to be an effective approach by enforcing an invariance of predictions under different distributions, existing approaches cannot make full use of region-level shape constraint and boundary-level distance information from unlabeled data. In this paper, we propose a novel uncertainty-guided mutual consistency learning framework to effectively exploit unlabeled data by integrating intra-task consistency learning from up-to-date predictions for self-ensembling and cross-task consistency learning from task-level regularization to exploit geometric shape information. The framework is guided by the estimated segmentation uncertainty of models to select out relatively certain predictions for consistency learning, so as to effectively exploit more reliable information from unlabeled data. Experiments on two publicly available benchmark datasets showed that: (1) Our proposed method can achieve significant performance improvement by leveraging unlabeled data, with up to 4.13% and 9.82% in Dice coefficient compared to supervised baseline on left atrium segmentation and brain tumor segmentation, respectively. (2) Compared with other semi-supervised segmentation methods, our proposed method achieve better segmentation performance under the same backbone network and task settings on both datasets, demonstrating the effectiveness and robustness of our method and potential transferability for other medical image segmentation tasks.","This work is supported in part by the National Key Research and Development Program of China (2016YFF0201002), and in part by the University Synergy Innovation Program of Anhui Province (GXXT-2019-044).",,Artificial Intelligence in Medicine,,,2023-04,2023,,2023-04,138,,102476,All OA, Green,Article,"Zhang, Yichi; Jiao, Rushi; Liao, Qingcheng; Li, Dongyang; Zhang, Jicong","Zhang, Yichi (School of Biological Science and Medical Engineering, Beihang University, Beijing, China); Jiao, Rushi (School of Biological Science and Medical Engineering, Beihang University, Beijing, China); Liao, Qingcheng (School of Biological Science and Medical Engineering, Beihang University, Beijing, China); Li, Dongyang (School of Biological Science and Medical Engineering, Beihang University, Beijing, China); Zhang, Jicong (School of Biological Science and Medical Engineering, Beihang University, Beijing, China; Hefei Innovation Research Institute, Beihang University, Hefei, China; Beijing Advanced Innovation Centre for Biomedical Engineering, Beijing, China)","Zhang, Jicong (Beihang University; Beihang University; )","Zhang, Yichi (Beihang University); Jiao, Rushi (Beihang University); Liao, Qingcheng (Beihang University); Li, Dongyang (Beihang University); Zhang, Jicong (Beihang University; Beihang University)",0,0,,,http://arxiv.org/pdf/2112.02508,https://app.dimensions.ai/details/publication/pub.1153624193,46 Information and Computing Sciences, 4603 Computer Vision and Multimedia Computation, 4611 Machine Learning,,,,,,,,,
1133,pub.1153022108,10.1016/j.patcog.2022.109208,,,Region-wise loss for biomedical image segmentation,"We propose Region-wise (RW) loss for biomedical image segmentation. Region-wise loss is versatile, can simultaneously account for class imbalance and pixel importance, and it can be easily implemented as the pixel-wise multiplication between the softmax output and a RW map. We show that, under the proposed RW loss framework, certain loss functions, such as Active Contour and Boundary loss, can be reformulated similarly with appropriate RW maps, thus revealing their underlying similarities and a new perspective to understand these loss functions. We investigate the observed optimization instability caused by certain RW maps, such as Boundary loss distance maps, and we introduce a mathematically-grounded principle to avoid such instability. This principle provides excellent adaptability to any dataset and practically ensures convergence without extra regularization terms or optimization tricks. Following this principle, we propose a simple version of boundary distance maps called rectified Region-wise (RRW) maps that, as we demonstrate in our experiments, achieve state-of-the-art performance with similar or better Dice coefficients and Hausdorff distances than Dice, Focal, weighted Cross entropy, and Boundary losses in three distinct segmentation tasks. We quantify the optimization instability provided by Boundary loss distance maps, and we empirically show that our RRW maps are stable to optimize. The code to run all our experiments is publicly available at: https://github.com/jmlipman/RegionWiseLoss.",The work of J.M. Valverde was funded from the European Union’s Horizon 2020 Framework Programme (Marie Skodowska Curie grant agreement #740264 (GENOMMED)). This work has also been supported by the grant #316258 from Academy of Finland (J. Tohka).,,Pattern Recognition,,,2023-04,2023,,2023-04,136,,109208,All OA, Hybrid,Article,"Valverde, Juan Miguel; Tohka, Jussi","Valverde, Juan Miguel (A.I. Virtanen Institute for Molecular Sciences, University of Eastern Finland, Kuopio 70150, Finland); Tohka, Jussi (A.I. Virtanen Institute for Molecular Sciences, University of Eastern Finland, Kuopio 70150, Finland)","Valverde, Juan Miguel (University of Eastern Finland)","Valverde, Juan Miguel (University of Eastern Finland); Tohka, Jussi (University of Eastern Finland)",0,0,,,https://doi.org/10.1016/j.patcog.2022.109208,https://app.dimensions.ai/details/publication/pub.1153022108,46 Information and Computing Sciences, 4603 Computer Vision and Multimedia Computation, 4611 Machine Learning,,,,,,,,,
906,pub.1155258662,10.1016/j.knosys.2023.110378,,,O2M-UDA: Unsupervised dynamic domain adaptation for one-to-multiple medical image segmentation,"One-to-multiple medical image segmentation aims to directly test a segmentation model trained with the medical images of a one-domain site on those of a multiple-domain site, suffering from segmentation performance degradation on multiple domains. This process avoids additional annotations and helps improve the application value of the model. However, no successful one-to-multiple unsupervised domain adaptation (O2M-UDA) work has been reported in one-to-multiple medical image segmentation due to its inherent challenges: distribution differences among multiple target domains (among-target differences) caused by different scanning equipment and distribution differences between one source domain and multiple target domains (source–target differences). In this paper, we propose an O2M-UDA framework called dynamic domain adaptation (DyDA), for one-to-multiple medical image segmentation, which has two innovations: (1) dynamic credible sample strategy (DCSS) dynamically extracts credible samples from the target site and iteratively updates their number, thus iteratively expanding the generalization boundary of the model and minimizing the among-target differences; (2) hybrid uncertainty learning (HUL) reduces the voxel-level and domain-level uncertainty simultaneously, thus minimizing the source–target differences from the detail and entire perspective concurrently. Experiments on two one-to-multiple medical image segmentation tasks have been conducted to demonstrate the performance of the proposed DyDA. The proposed DyDA achieved competitive segmentation results and high adaptation with an average of 83.8% and 48.1% dice for the two tasks, respectively, which has improved by 21.7% and 9.2% compared with no adaptation, respectively. The code developed in this study code can be downloaded at https://github.com/ZoeyJiang/DyDA.","This research was supported by the Intergovernmental Cooperation Project of the National Key Research and Development Program of China (2022YFE0116700), CAAI-Huawei MindSpore Open Fund and Scientific Research Foundation of Graduate School of Southeast University (YBPY2139). We thank the Big Data Computing Center of Southeast University for providing the facility support on the numerical calculations in this paper.",,Knowledge-Based Systems,,,2023-04,2023,,2023-04,265,,110378,Closed,Article,"Jiang, Ziyue; He, Yuting; Ye, Shuai; Shao, Pengfei; Zhu, Xiaomei; Xu, Yi; Chen, Yang; Coatrieux, Jean-Louis; Li, Shuo; Yang, Guanyu","Jiang, Ziyue (LIST, Key Laboratory of Computer Network and Information Integration (Southeast University), Ministry of Education, Nanjing, China); He, Yuting (LIST, Key Laboratory of Computer Network and Information Integration (Southeast University), Ministry of Education, Nanjing, China); Ye, Shuai (LIST, Key Laboratory of Computer Network and Information Integration (Southeast University), Ministry of Education, Nanjing, China); Shao, Pengfei (Department of Urology, the First Affiliated Hospital of Nanjing Medical University, Nanjing, China); Zhu, Xiaomei (Department of Radiology, the First Affiliated Hospital of Nanjing Medical University, Nanjing, China); Xu, Yi (Department of Radiology, the First Affiliated Hospital of Nanjing Medical University, Nanjing, China); Chen, Yang (LIST, Key Laboratory of Computer Network and Information Integration (Southeast University), Ministry of Education, Nanjing, China; Jiangsu Provincial Joint International Research Laboratory of Medical Information Processing, Nanjing, China; Centre de Recherche en Information Biomédicale Sino-Français (CRIBs), France); Coatrieux, Jean-Louis (Univ Rennes, Inserm, LTSI - UMR1099, Rennes, F-35000, France; Centre de Recherche en Information Biomédicale Sino-Français (CRIBs), France); Li, Shuo (Department of Biomedical Engineering and the Department of Computer and Data Science, Case Western Reserve University, Cleveland, OH 44106, USA); Yang, Guanyu (LIST, Key Laboratory of Computer Network and Information Integration (Southeast University), Ministry of Education, Nanjing, China; Jiangsu Provincial Joint International Research Laboratory of Medical Information Processing, Nanjing, China; Centre de Recherche en Information Biomédicale Sino-Français (CRIBs), France)","Yang, Guanyu (Ministry of Education of the People's Republic of China; ; )","Jiang, Ziyue (Ministry of Education of the People's Republic of China); He, Yuting (Ministry of Education of the People's Republic of China); Ye, Shuai (Ministry of Education of the People's Republic of China); Shao, Pengfei (Jiangsu Province Hospital); Zhu, Xiaomei (Jiangsu Province Hospital); Xu, Yi (Jiangsu Province Hospital); Chen, Yang (Ministry of Education of the People's Republic of China); Coatrieux, Jean-Louis (University of Rennes 1); Li, Shuo (Case Western Reserve University); Yang, Guanyu (Ministry of Education of the People's Republic of China)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1155258662,46 Information and Computing Sciences, 4605 Data Management and Data Science,,,,,,,,,,,
961,pub.1155419104,10.1016/j.asoc.2023.110128,,,Big Model and Small Model : Remote modeling and local information extraction module for medical image segmentation,"In the past few years, convolutional neural networks (CNN) and Transformer have achieved great success in medical image segmentation, but they each have inevitable drawbacks. Among them, convolution operation is difficult to calculate the relationship between elements at a certain position and elements far away from the position in the feature map. However, Transformer tends to ignore the importance of local information when exploring the correlation between overall elements. In order to allow the network to acquire both the ability to explore local details and compute the correlation between distant elements, this paper proposes TransUNet++ based on TransUNet. Specifically, this paper proposes two modules, Big Model and Small Model, to explore the element relationship between feature maps. Among them, on the basis of the whole feature map as the basic unit, the Big model can not only calculate the correlation between distant elements in the feature map but also extract the detailed information of the local feature map. On the basis of taking 1/4 of the feature map as the basic unit, the Small model not only explores the correlation between distant elements but also extracts the local details of the feature map. We demonstrate on the Synapse multi-organ segmentation dataset(Synapse) and Automated cardiac diagnosis challenge dataset (ACDC) that using either the Big Model or the Small Model alone can improve the experimental results, and using the Big Model and the Small Model in parallel can achieve more optimal experimental results. Among them, in Synapse dataset, we achieved 80.87% dice score and 24.79% HD score, and in ACDC dataset, we achieved 91.41% dice score and 1.08% HD score.",,"This research was funded by the Scientific and technological innovation 2030 major project under Grant 2022ZD0115802, the National Science Foundation of China under Grant U1903213, and Xinjiang Uygur Autonomous Region Postgraduate Innovation Project, China under Grant XJ2022G024.",Applied Soft Computing,,,2023-03,2023,,2023-03,136,,110128,Closed,Article,"Xu, Lianghui; Wang, Liejun; Li, Yongming; Du, Anyu","Xu, Lianghui (College of Information Science and Engineering, Xinjiang University, Urumqi, 830046, Xinjiang, China); Wang, Liejun (College of Information Science and Engineering, Xinjiang University, Urumqi, 830046, Xinjiang, China); Li, Yongming (College of Information Science and Engineering, Xinjiang University, Urumqi, 830046, Xinjiang, China); Du, Anyu (College of Information Science and Engineering, Xinjiang University, Urumqi, 830046, Xinjiang, China)","Wang, Liejun (Xinjiang University)","Xu, Lianghui (Xinjiang University); Wang, Liejun (Xinjiang University); Li, Yongming (Xinjiang University); Du, Anyu (Xinjiang University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1155419104,46 Information and Computing Sciences, 4605 Data Management and Data Science, 4611 Machine Learning,,,,,,,,,,
1066,pub.1155712698,10.1007/978-3-030-98661-2_109,,,Variational Models and Their Combinations with Deep Learning in Medical Image Segmentation: A Survey,"Image segmentation means to partition an image into separate meaningful regions. Segmentation in medical images can extract different organs, lesions, and other regions of interest, which helps in subsequent disease diagnosis, surgery planning, and efficacy assessment. However, medical images have many unavoidable interference factors, such as imaging noise, artificial artifacts, and mutual occlusion of organs, which make accurate segmentation highly difficult. Incorporating prior knowledge and image information into segmentation model based on variational methods has proven efficient for more accurate segmentation. In recent years, segmentation based on deep learning has been significantly developed, and the combination of classical variational method-based models with deep learning is a hot topic. In this survey, we briefly review the segmentation methods based on a variational method making use of image information and regularity information. Subsequently, we clarify how the integration of variational methods into the deep learning framework leads to more precise segmentation results.",,,,Handbook of Mathematical Models and Algorithms in Computer Vision and Imaging,,2023-02-25,2023,2023-02-25,2023,,,1001-1022,Closed,Chapter,"Gui, Luying; Ma, Jun; Yang, Xiaoping","Gui, Luying (Department of Mathematics, Nanjing University of Science and Technology, Nanjing, China); Ma, Jun (Department of Mathematics, Nanjing University of Science and Technology, Nanjing, China); Yang, Xiaoping (Department of Mathematics, Nanjing University, Nanjing, China)","Yang, Xiaoping (Nanjing University)","Gui, Luying (Nanjing University of Science and Technology); Ma, Jun (Nanjing University of Science and Technology); Yang, Xiaoping (Nanjing University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1155712698,46 Information and Computing Sciences, 4603 Computer Vision and Multimedia Computation,,,,,,,,,,,
1454,pub.1155473631,10.3991/ijoe.v19i02.36607,,,A Convolutional Neural Network Model to Segment Myocardial Infarction from MRI Images,"Cardiovascular diseases (CVDs) are considered one of the leading causes of death worldwide. Myocardial infarction (MI) is one of the deadliest cardiac diseases that require more consideration. Recently, cardiac magnetic resonance imaging (MRI) has been applied as a standard technique for assessing such diseases. The segmentation of the left ventricle (LV) and myocardium from MRI images is vital in detecting MI disease at its early stages. The automatic segmentation of LV is still challenging due to the complex structures of MRI images, inhomogeneous LV shape and moving organs around the LV, such as the lungs and diaphragm. Thus, this study proposed a convolutional neural network (CNN) model for LV and myocardium segmentation to detect MI. The layers selection and hyper-parameters fine-tuning were applied before the training phase. The model showed robust performance based on the evaluation metrics such as accuracy, sensitivity, specificity, dice score coefficient (DSC), Jaccard index and intersection over union (IOU) with values of 0.86, 0.91, 0.84, 0.81, 0.69 and 0.83, respectively.",,,International Journal of Online and Biomedical Engineering (iJOE),,,2023-02-16,2023,2023-02-16,,19,2,150-162,Closed,Article,"Shaaf, Zakarya Farea; Jamil, Muhammad Mahadi Abdul; Ambar, Radzi","Shaaf, Zakarya Farea (Faculty of Electrical and Electronic Engineering, Universiti Tun Hussein Onn Malaysia, Parit Raja, Batu Pahat 86400, Johor, Malaysia); Jamil, Muhammad Mahadi Abdul (); Ambar, Radzi ()",,"Shaaf, Zakarya Farea (Tun Hussein Onn University of Malaysia); Jamil, Muhammad Mahadi Abdul (); Ambar, Radzi ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1155473631,40 Engineering, 4003 Biomedical Engineering,3 Good Health and Well Being,,,,,,,,,,
4568,pub.1155417897,10.1016/j.media.2023.102773,36827870,,Automatic uncertainty-based quality controlled T1 mapping and ECV analysis from native and post-contrast cardiac T1 mapping images using Bayesian vision transformer,"Deep learning-based methods for cardiac MR segmentation have achieved state-of-the-art results. However, these methods can generate incorrect segmentation results which can lead to wrong clinical decisions in the downstream tasks. Automatic and accurate analysis of downstream tasks, such as myocardial tissue characterization, is highly dependent on the quality of the segmentation results. Therefore, it is of paramount importance to use quality control methods to detect the failed segmentations before further analysis. In this work, we propose a fully automatic uncertainty-based quality control framework for T1 mapping and extracellular volume (ECV) analysis. The framework consists of three parts. The first one focuses on segmentation of cardiac structures from a native and post-contrast T1 mapping dataset (n=295) using a Bayesian Swin transformer-based U-Net. In the second part, we propose a novel uncertainty-based quality control (QC) to detect inaccurate segmentation results. The QC method utilizes image-level uncertainty features as input to a random forest-based classifier/regressor to determine the quality of the segmentation outputs. The experimental results from four different types of segmentation results show that the proposed QC method achieves a mean area under the ROC curve (AUC) of 0.927 on binary classification and a mean absolute error (MAE) of 0.021 on Dice score regression, significantly outperforming other state-of-the-art uncertainty based QC methods. The performance gap is notably higher in predicting the segmentation quality from poor-performing models which shows the robustness of our method in detecting failed segmentations. After the inaccurate segmentation results are detected and rejected by the QC method, in the third part, T1 mapping and ECV values are computed automatically to characterize the myocardial tissues of healthy and cardiac pathological cases. The native myocardial T1 and ECV values computed from automatic and manual segmentations show an excellent agreement yielding Pearson coefficients of 0.990 and 0.975 (on the combined validation and test sets), respectively. From the results, we observe that the automatically computed myocardial T1 and ECV values have the ability to characterize myocardial tissues of healthy and cardiac diseases like myocardial infarction, amyloidosis, Tako-Tsubo syndrome, dilated cardiomyopathy, and hypertrophic cardiomyopathy.","This work was supported by the French National Research Agency (ANR), France , with reference ANR-19-CE45-0001-01-ACCECIT. Calculations were performed using HPC resources from DNUM CCUB (Centre de Calcul de l’Université de Bourgogne). We also thank the Mesocentre of Franche-Comté for the computing facilities.",,Medical Image Analysis,,,2023-02-15,2023,2023-02-15,2023-05,86,,102773,Closed,Article,"Arega, Tewodros Weldebirhan; Bricq, Stéphanie; Legrand, François; Jacquier, Alexis; Lalande, Alain; Meriaudeau, Fabrice","Arega, Tewodros Weldebirhan (ImViA Laboratory, Université Bourgogne Franche-Comté, Dijon, France. Electronic address: tewdrosw@gmail.com.); Bricq, Stéphanie (ImViA Laboratory, Université Bourgogne Franche-Comté, Dijon, France.); Legrand, François (ImViA Laboratory, Université Bourgogne Franche-Comté, Dijon, France.); Jacquier, Alexis (Aix-Marseille Univ, CNRS, CRMBM, 13005 Marseille, France.); Lalande, Alain (ImViA Laboratory, Université Bourgogne Franche-Comté, Dijon, France; Medical Imaging department, University Hospital of Dijon, Dijon, France.); Meriaudeau, Fabrice (ImViA Laboratory, Université Bourgogne Franche-Comté, Dijon, France.)","Arega, Tewodros Weldebirhan (Université Bourgogne Franche-Comté)","Arega, Tewodros Weldebirhan (Université Bourgogne Franche-Comté); Bricq, Stéphanie (Université Bourgogne Franche-Comté); Legrand, François (Université Bourgogne Franche-Comté); Jacquier, Alexis (Center for Magnetic Resonance in Biology and Medicine); Lalande, Alain (Université Bourgogne Franche-Comté; Centre Hospitalier Universitaire Dijon Bourgogne); Meriaudeau, Fabrice (Université Bourgogne Franche-Comté)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1155417897,32 Biomedical and Clinical Sciences, 40 Engineering,,,,,,,,,,,
