"About the data: Exported on Mar 06, 2023. Criteria: '""The Medical Segmentation Decathlon""' in full data; Publication Year is 2019 or 2018. © 2023 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals,,,,,,,,,,,
2830,pub.1118153008,10.1109/tmi.2019.2930068,31329113,,Reducing the Hausdorff Distance in Medical Image Segmentation With Convolutional Neural Networks,"The Hausdorff Distance (HD) is widely used in evaluating medical image segmentation methods. However, the existing segmentation methods do not attempt to reduce HD directly. In this paper, we present novel loss functions for training convolutional neural network (CNN)-based segmentation methods with the goal of reducing HD directly. We propose three methods to estimate HD from the segmentation probability map produced by a CNN. One method makes use of the distance transform of the segmentation boundary. Another method is based on applying morphological erosion on the difference between the true and estimated segmentation maps. The third method works by applying circular/spherical convolution kernels of different radii on the segmentation probability maps. Based on these three methods for estimating HD, we suggest three loss functions that can be used for training to reduce HD. We use these loss functions to train CNNs for segmentation of the prostate, liver, and pancreas in ultrasound, magnetic resonance, and computed tomography images and compare the results with commonly-used loss functions. Our results show that the proposed loss functions can lead to approximately 18-45% reduction in HD without degrading other segmentation performance criteria such as the Dice similarity coefficient. The proposed loss functions can be used for training medical image segmentation methods in order to reduce the large segmentation errors.","Thisworkwas supported in part by the Natural Science and Engineering Research Council of Canada (NSERC), in part by the Canadian Institutes of Health Research (CIHR), and in part by the Prostate Cancer Canada (PCC). The authors would like to thank the support from the Charles Laszlo Chair in Biomedical Engineering held by Professor S. Salcudean.",,IEEE Transactions on Medical Imaging,,"Algorithms; Diagnostic Imaging; Humans; Image Processing, Computer-Assisted; Liver; Male; Neural Networks, Computer; Prostate",2019-07-19,2019,2019-07-19,2020-02,39,2,499-513,All OA, Green,Article,"Karimi, Davood; Salcudean, Septimiu E.","Karimi, Davood (Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, BC, V6T 1Z4, Canada); Salcudean, Septimiu E. (Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, BC, V6T 1Z4, Canada)","Karimi, Davood (University of British Columbia)","Karimi, Davood (University of British Columbia); Salcudean, Septimiu E. (University of British Columbia)",209,178,11.46,80.1,http://arxiv.org/pdf/1904.10030,https://app.dimensions.ai/details/publication/pub.1118153008,46 Information and Computing Sciences, 4611 Machine Learning,,,,,,,,,,
2461,pub.1117739643,10.1016/j.cmpb.2019.07.002,31416559,,Automated pancreas segmentation from computed tomography and magnetic resonance images: A systematic review,"The pancreas is a highly variable organ, the size, shape, and position of which are affected by age, sex, adiposity, the presence of diseases affecting the pancreas (e.g., diabetes, pancreatic cancer, pancreatitis) and other factors. Accurate automated segmentation of the pancreas has the potential to facilitate timely diagnosing and managing of diseases of the endocrine and exocrine pancreas. The aim was to systematically review studies reporting on automated pancreas segmentation algorithms derived from computed tomography (CT) or magnetic resonance (MR) images. The MEDLINE database and three patent databases were searched. Data on the performance of algorithms were meta-analysed, when possible. The algorithms were classified into one of four groups: multiorgan atlas-based, landmark-based, shape model-based, and neural network-based. A total of 13 cohorts suitable for meta-analysis were pooled to determine the performance of pancreas segmentation algorithms altogether using the Dice coefficient. These cohorts, comprising 1110 individuals, yielded a weighted mean Dice coefficient of 74.4%. Eight cohorts suitable for meta-analysis were pooled to determine the performance of pancreas segmentation algorithms altogether using the Jaccard index. These cohorts, comprising 636 individuals, yielded a weighted mean Jaccard index of 63.7%. Multiorgan atlas-based algorithms had a weighted mean Dice coefficient of 70.1% and a weighted mean Jaccard index of 59.8%. Neural network-based algorithms had a weighted mean Dice coefficient of 82.3% and a weighted mean Jaccard index of 70.1%. Studies using the other two types of algorithms were not meta-analysable. The above findings indicate that the automation of pancreas segmentation represents a considerable challenge as the performance of current automated pancreas segmentation algorithms is suboptimal. Adopting standardised reporting on performance of pancreas segmentation algorithms and encouraging the use of benchmark pancreas segmentation datasets will allow future algorithms to be tested and compared more easily and fairly.","This study was part of the COSMOS program. COSMOS is supported, in part, by the Royal Society of New Zealand (Rutherford Discovery Fellowship to Associate Professor Max Petrov). The authors are thankful to Heather Riley (University of Auckland) for her contribution to this manuscript.",None,Computer Methods and Programs in Biomedicine,,"Algorithms; Humans; Magnetic Resonance Imaging; Neural Networks, Computer; Pancreas; Pattern Recognition, Automated; Reproducibility of Results; Tomography, X-Ray Computed",2019-07-03,2019,2019-07-03,2019-09,178,,319-328,Closed,Article,"Kumar, Haribalan; DeSouza, Steve V; Petrov, Maxim S","Kumar, Haribalan (Auckland Bioengineering Institute, University of Auckland, Auckland, New Zealand.); DeSouza, Steve V (School of Medicine, University of Auckland, Auckland, New Zealand.); Petrov, Maxim S (School of Medicine, University of Auckland, Auckland, New Zealand. Electronic address: max.petrov@gmail.com.)","Petrov, Maxim S (University of Auckland)","Kumar, Haribalan (University of Auckland); DeSouza, Steve V (University of Auckland); Petrov, Maxim S (University of Auckland)",35,28,2.27,12.31,,https://app.dimensions.ai/details/publication/pub.1117739643,40 Engineering, 4003 Biomedical Engineering, 46 Information and Computing Sciences, 4601 Applied Computing, 4603 Computer Vision and Multimedia Computation,,,,,,,,
2324,pub.1113280068,10.3389/fnins.2019.00285,31024229,PMC6460997,Nested Dilation Networks for Brain Tumor Segmentation Based on Magnetic Resonance Imaging,"Aim: Brain tumors are among the most fatal cancers worldwide. Diagnosing and manually segmenting tumors are time-consuming clinical tasks, and success strongly depends on the doctor's experience. Automatic quantitative analysis and accurate segmentation of brain tumors are greatly needed for cancer diagnosis. Methods:This paper presents an advanced three-dimensional multimodal segmentation algorithm called nested dilation networks (NDNs). It is inspired by the U-Net architecture, a convolutional neural network (CNN) developed for biomedical image segmentation and is modified to achieve better performance for brain tumor segmentation. Thus, we propose residual blocks nested with dilations (RnD) in the encoding part to enrich the low-level features and use squeeze-and-excitation (SE) blocks in both the encoding and decoding parts to boost significant features. To prove the reliability of the network structure, we compare our results with those of the standard U-Net and its transmutation networks. Different loss functions are considered to cope with class imbalance problems to maximize the brain tumor segmentation results. A cascade training strategy is employed to run NDNs for coarse-to-fine tumor segmentation. This strategy decomposes the multiclass segmentation problem into three binary segmentation problems and trains each task sequentially. Various augmentation techniques are utilized to increase the diversity of the data to avoid overfitting. Results: This approach achieves Dice similarity scores of 0.6652, 0.5880, and 0.6682 for edema, non-enhancing tumors, and enhancing tumors, respectively, in which the Dice loss is used for single-pass training. After cascade training, the Dice similarity scores rise to 0.7043, 0.5889, and 0.7206, respectively. Conclusion: Experiments show that the proposed deep learning algorithm outperforms other U-Net transmutation networks for brain tumor segmentation. Moreover, applying cascade training to NDNs facilitates better performance than other methods. The findings of this study provide considerable insight into the automatic and accurate segmentation of brain tumors.",,"Funding. This work was partially supported by the National Natural Science Foundation of China (Grant No. 61671399, 61601392, 61571380), National Key R&D Program of China (Grant No. 2017YFC0108703), and Fundamental Research Funds for the Central Universities (Grant No. 20720180056).",Frontiers in Neuroscience,,,2019-04-05,2019,2019-04-05,,13,,285,All OA, Gold,Article,"Wang, Liansheng; Wang, Shuxin; Chen, Rongzhen; Qu, Xiaobo; Chen, Yiping; Huang, Shaohui; Liu, Changhua","Wang, Liansheng (Fujian Key Laboratory of Sensing and Computing for Smart City, School of Information Science and Engineering, Xiamen University, Xiamen, China; Department of Computer Science, School of Information Science and Engineering, Xiamen University, Xiamen, China); Wang, Shuxin (Department of Computer Science, School of Information Science and Engineering, Xiamen University, Xiamen, China); Chen, Rongzhen (Department of Computer Science, School of Information Science and Engineering, Xiamen University, Xiamen, China); Qu, Xiaobo (Department of Electronic Science, Fujian Provincial Key Laboratory of Plasma and Magnetic Resonance, School of Electronic Science and Engineering (National Model Microelectronics College), Xiamen University, Xiamen, China); Chen, Yiping (Fujian Key Laboratory of Sensing and Computing for Smart City, School of Information Science and Engineering, Xiamen University, Xiamen, China; Department of Computer Science, School of Information Science and Engineering, Xiamen University, Xiamen, China); Huang, Shaohui (Department of Computer Science, School of Information Science and Engineering, Xiamen University, Xiamen, China); Liu, Changhua (Department of Medical Imaging, Chenggong Hospital Affiliated to Xiamen University, Xiamen, China)","Huang, Shaohui (Xiamen University); Liu, Changhua (Xiamen University)","Wang, Liansheng (Xiamen University; Xiamen University); Wang, Shuxin (Xiamen University); Chen, Rongzhen (Xiamen University); Qu, Xiaobo (Xiamen University); Chen, Yiping (Xiamen University; Xiamen University); Huang, Shaohui (Xiamen University); Liu, Changhua (Xiamen University)",21,18,0.92,6.29,https://www.frontiersin.org/articles/10.3389/fnins.2019.00285/pdf,https://app.dimensions.ai/details/publication/pub.1113280068,32 Biomedical and Clinical Sciences, 3211 Oncology and Carcinogenesis,,,,,,,,,,
2061,pub.1121692044,10.1109/rbme.2019.2946868,31613783,,Automated Brain Tumor Segmentation Using Multimodal Brain Scans: A Survey Based on Models Submitted to the BraTS 20122018 Challenges,"Reliable brain tumor segmentation is essential for accurate diagnosis and treatment planning. Since manual segmentation of brain tumors is a highly time-consuming, expensive and subjective task, practical automated methods for this purpose are greatly appreciated. But since brain tumors are highly heterogeneous in terms of location, shape, and size, developing automatic segmentation methods has remained a challenging task over decades. This paper aims to review the evolution of automated models for brain tumor segmentation using multimodal MR images. In order to be able to make a just comparison between different methods, the proposed models are studied for the most famous benchmark for brain tumor segmentation, namely the BraTS challenge [1]. The BraTS 2012-2018 challenges and the state-of-the-art automated models employed each year are analysed. The changing trend of these automated methods since 2012 are studied and the main parameters that affect the performance of different models are analysed.",The work of M. Ghaffari was supported by a Macquarie University Ph.D. scholarship.,,IEEE Reviews in Biomedical Engineering,,"Algorithms; Brain; Brain Neoplasms; Humans; Image Interpretation, Computer-Assisted; Magnetic Resonance Imaging; Neural Networks, Computer; Neuroimaging",2019-10-11,2019,2019-10-11,2020,13,,156-168,Closed,Article,"Ghaffari, Mina; Sowmya, Arcot; Oliver, Ruth","Ghaffari, Mina (School of Engineering, Macquarie University, Sydney, NSW, 2109, Australia); Sowmya, Arcot (School of Computer Science and Engineering, University of New South Wales, Sydney, NSW, 2052, Australia); Oliver, Ruth (School of Engineering, Macquarie University, Sydney, NSW, 2109, Australia)","Ghaffari, Mina (Macquarie University)","Ghaffari, Mina (Macquarie University); Sowmya, Arcot (UNSW Sydney); Oliver, Ruth (Macquarie University)",73,68,3.34,14.2,,https://app.dimensions.ai/details/publication/pub.1121692044,40 Engineering, 4003 Biomedical Engineering,,,,,,,,,,,
1257,pub.1111948780,10.1007/978-3-658-25326-4_7,,,Abstract: nnU-Net: Self-adapting Framework for U-Net-Based Medical Image Segmentation,"The U-Net was presented in 2015. With its straight-forward and successful architecture it quickly evolved to a commonly used benchmark in medical image segmentation. The adaptation of the U-Net to novel problems, however, comprises several degrees of freedom regarding the exact architecture, preprocessing, training and inference.",,,Informatik aktuell,Bildverarbeitung für die Medizin 2019,,2019-02-07,2019,2019-02-07,2019,,,22-22,All OA, Bronze,Chapter,"Isensee, Fabian; Petersen, Jens; Klein, Andre; Zimmerer, David; Jaeger, Paul F.; Kohl, Simon; Wasserthal, Jakob; Koehler, Gregor; Norajitra, Tobias; Wirkert, Sebastian; Maier-Hein, Klaus H.","Isensee, Fabian (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Petersen, Jens (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Klein, Andre (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Zimmerer, David (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Jaeger, Paul F. (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Kohl, Simon (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Wasserthal, Jakob (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Koehler, Gregor (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Norajitra, Tobias (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Wirkert, Sebastian (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland); Maier-Hein, Klaus H. (Department of Medical Image Computing, German Cancer Research Center, Heidelberg, Deutschland)","Isensee, Fabian (German Cancer Research Center)","Isensee, Fabian (German Cancer Research Center); Petersen, Jens (German Cancer Research Center); Klein, Andre (German Cancer Research Center); Zimmerer, David (German Cancer Research Center); Jaeger, Paul F. (German Cancer Research Center); Kohl, Simon (German Cancer Research Center); Wasserthal, Jakob (German Cancer Research Center); Koehler, Gregor (German Cancer Research Center); Norajitra, Tobias (German Cancer Research Center); Wirkert, Sebastian (German Cancer Research Center); Maier-Hein, Klaus H. (German Cancer Research Center)",279,211,,94.74,https://link.springer.com/content/pdf/10.1007%2F978-3-658-25326-4_7.pdf,https://app.dimensions.ai/details/publication/pub.1111948780,46 Information and Computing Sciences, 4605 Data Management and Data Science,,,,,,,,,,
1251,pub.1119307921,10.48550/arxiv.1809.10486,,,nnU-Net: Self-adapting Framework for U-Net-Based Medical Image  Segmentation,"The U-Net was presented in 2015. With its straight-forward and successful
architecture it quickly evolved to a commonly used benchmark in medical image
segmentation. The adaptation of the U-Net to novel problems, however, comprises
several degrees of freedom regarding the exact architecture, preprocessing,
training and inference. These choices are not independent of each other and
substantially impact the overall performance. The present paper introduces the
nnU-Net ('no-new-Net'), which refers to a robust and self-adapting framework on
the basis of 2D and 3D vanilla U-Nets. We argue the strong case for taking away
superfluous bells and whistles of many proposed network designs and instead
focus on the remaining aspects that make out the performance and
generalizability of a method. We evaluate the nnU-Net in the context of the
Medical Segmentation Decathlon challenge, which measures segmentation
performance in ten disciplines comprising distinct entities, image modalities,
image geometries and dataset sizes, with no manual adjustments between datasets
allowed. At the time of manuscript submission, nnU-Net achieves the highest
mean dice scores across all classes and seven phase 1 tasks (except class 1 in
BrainTumour) in the online leaderboard of the challenge.",,,arXiv,,,2018-09-27,2018,,,,,,All OA, Green,Preprint,"Isensee, Fabian; Petersen, Jens; Klein, Andre; Zimmerer, David; Jaeger, Paul F.; Kohl, Simon; Wasserthal, Jakob; Koehler, Gregor; Norajitra, Tobias; Wirkert, Sebastian; Maier-Hein, Klaus H.","Isensee, Fabian (); Petersen, Jens (); Klein, Andre (); Zimmerer, David (); Jaeger, Paul F. (); Kohl, Simon (); Wasserthal, Jakob (); Koehler, Gregor (); Norajitra, Tobias (); Wirkert, Sebastian (); Maier-Hein, Klaus H. ()",,"Isensee, Fabian (); Petersen, Jens (); Klein, Andre (); Zimmerer, David (); Jaeger, Paul F. (); Kohl, Simon (); Wasserthal, Jakob (); Koehler, Gregor (); Norajitra, Tobias (); Wirkert, Sebastian (); Maier-Hein, Klaus H. ()",1,1,,0.32,,https://app.dimensions.ai/details/publication/pub.1119307921,46 Information and Computing Sciences, 4611 Machine Learning,,,,,,,,,,
1196,pub.1119426691,10.48550/arxiv.1904.08128,,,Automated Design of Deep Learning Methods for Biomedical Image  Segmentation,"Biomedical imaging is a driver of scientific discovery and core component of
medical care, currently stimulated by the field of deep learning. While
semantic segmentation algorithms enable 3D image analysis and quantification in
many applications, the design of respective specialised solutions is
non-trivial and highly dependent on dataset properties and hardware conditions.
We propose nnU-Net, a deep learning framework that condenses the current domain
knowledge and autonomously takes the key decisions required to transfer a basic
architecture to different datasets and segmentation tasks. Without manual
tuning, nnU-Net surpasses most specialised deep learning pipelines in 19 public
international competitions and sets a new state of the art in the majority of
the 49 tasks. The results demonstrate a vast hidden potential in the systematic
adaptation of deep learning methods to different datasets. We make nnU-Net
publicly available as an open-source tool that can effectively be used
out-of-the-box, rendering state of the art segmentation accessible to
non-experts and catalyzing scientific progress as a framework for automated
method design.",,,arXiv,,,2019-04-17,2019,,,,,,All OA, Green,Preprint,"Isensee, Fabian; Jäger, Paul F.; Kohl, Simon A. A.; Petersen, Jens; Maier-Hein, Klaus H.","Isensee, Fabian (); Jäger, Paul F. (); Kohl, Simon A. A. (); Petersen, Jens (); Maier-Hein, Klaus H. ()",,"Isensee, Fabian (); Jäger, Paul F. (); Kohl, Simon A. A. (); Petersen, Jens (); Maier-Hein, Klaus H. ()",1,1,,0.38,,https://app.dimensions.ai/details/publication/pub.1119426691,46 Information and Computing Sciences, 4611 Machine Learning,,,,,,,,,,
1162,pub.1122369674,10.48550/arxiv.1911.01764,,,"One Network to Segment Them All: A General, Lightweight System for  Accurate 3D Medical Image Segmentation","Many recent medical segmentation systems rely on powerful deep learning
models to solve highly specific tasks. To maximize performance, it is standard
practice to evaluate numerous pipelines with varying model topologies,
optimization parameters, pre- & postprocessing steps, and even model cascades.
It is often not clear how the resulting pipeline transfers to different tasks.
We propose a simple and thoroughly evaluated deep learning framework for
segmentation of arbitrary medical image volumes. The system requires no
task-specific information, no human interaction and is based on a fixed model
topology and a fixed hyperparameter set, eliminating the process of model
selection and its inherent tendency to cause method-level over-fitting. The
system is available in open source and does not require deep learning expertise
to use. Without task-specific modifications, the system performed better than
or similar to highly specialized deep learning methods across 3 separate
segmentation tasks. In addition, it ranked 5-th and 6-th in the first and
second round of the 2018 Medical Segmentation Decathlon comprising another 10
tasks. The system relies on multi-planar data augmentation which facilitates
the application of a single 2D architecture based on the familiar U-Net.
Multi-planar training combines the parameter efficiency of a 2D fully
convolutional neural network with a systematic train- and test-time
augmentation scheme, which allows the 2D model to learn a representation of the
3D image volume that fosters generalization.",,,arXiv,,,2019-11-05,2019,,,,,,All OA, Green,Preprint,"Perslev, Mathias; Dam, Erik Bjørnager; Pai, Akshay; Igel, Christian","Perslev, Mathias (); Dam, Erik Bjørnager (); Pai, Akshay (); Igel, Christian ()",,"Perslev, Mathias (); Dam, Erik Bjørnager (); Pai, Akshay (); Igel, Christian ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1122369674,46 Information and Computing Sciences, 4611 Machine Learning,,,,,,,,,,
1153,pub.1121615276,10.1007/978-3-030-32692-0_32,,,Automatic Couinaud Segmentation from CT Volumes on Liver Using GLC-UNet,"Automatically generating Couinaud segments on liver, a prerequisite for modern surgery of the liver, from computed tomography (CT) volumes is a challenge for the computer-aided diagnosis (CAD). In this paper, we propose a novel global and local contexts UNet (GLC-UNet) for Couinaud segmentation. In this framework, intra-slice features and 3D contexts are effectively probed and jointly optimized for accurate liver and Couinaud segmentation using attention mechanism. We comprehensively evaluate our system performance (\documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym}
				\usepackage{amsfonts}
				\usepackage{amssymb}
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$$98.51\%$$\end{document} in terms of Dice per case on liver segmentation, and \documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym}
				\usepackage{amsfonts}
				\usepackage{amssymb}
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$$92.46\%$$\end{document} on Couinaud segmentation) on the Medical Segmentation Decathlon dataset (task 8, hepatic vessels and tumor) from MICCAI 2018 with our annotated 43, 205 CT slices on liver and Couinaud segmentation. (https://github.com/GLCUnet/dataset).",,,Lecture Notes in Computer Science,Machine Learning in Medical Imaging,,2019-10-10,2019,2019-10-10,2019,11861,,274-282,Closed,Chapter,"Tian, Jiang; Liu, Li; Shi, Zhongchao; Xu, Feiyu","Tian, Jiang (AI Lab, Lenovo Research, Beijing, China); Liu, Li (AI Lab, Lenovo Research, Beijing, China); Shi, Zhongchao (AI Lab, Lenovo Research, Beijing, China); Xu, Feiyu (AI Lab, Lenovo Research, Beijing, China)","Tian, Jiang ","Tian, Jiang (); Liu, Li (); Shi, Zhongchao (); Xu, Feiyu ()",19,16,,,,https://app.dimensions.ai/details/publication/pub.1121615276,46 Information and Computing Sciences,,,,,,,,,,,,
1127,pub.1119397031,10.48550/arxiv.1906.02817,,,V-NAS: Neural Architecture Search for Volumetric Medical Image  Segmentation,"Deep learning algorithms, in particular 2D and 3D fully convolutional neural
networks (FCNs), have rapidly become the mainstream methodology for volumetric
medical image segmentation. However, 2D convolutions cannot fully leverage the
rich spatial information along the third axis, while 3D convolutions suffer
from the demanding computation and high GPU memory consumption. In this paper,
we propose to automatically search the network architecture tailoring to
volumetric medical image segmentation problem. Concretely, we formulate the
structure learning as differentiable neural architecture search, and let the
network itself choose between 2D, 3D or Pseudo-3D (P3D) convolutions at each
layer. We evaluate our method on 3 public datasets, i.e., the NIH Pancreas
dataset, the Lung and Pancreas dataset from the Medical Segmentation Decathlon
(MSD) Challenge. Our method, named V-NAS, consistently outperforms other
state-of-the-arts on the segmentation task of both normal organ (NIH Pancreas)
and abnormal organs (MSD Lung tumors and MSD Pancreas tumors), which shows the
power of chosen architecture. Moreover, the searched architecture on one
dataset can be well generalized to other datasets, which demonstrates the
robustness and practical use of our proposed method.",,,arXiv,,,2019-06-06,2019,,,,,,All OA, Green,Preprint,"Zhu, Zhuotun; Liu, Chenxi; Yang, Dong; Yuille, Alan; Xu, Daguang","Zhu, Zhuotun (); Liu, Chenxi (); Yang, Dong (); Yuille, Alan (); Xu, Daguang ()",,"Zhu, Zhuotun (); Liu, Chenxi (); Yang, Dong (); Yuille, Alan (); Xu, Daguang ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1119397031,46 Information and Computing Sciences, 4611 Machine Learning,,,,,,,,,,
