"About the data: Exported on Mar 06, 2023. Criteria: '""Evaluation of prostate segmentation algorithms for MRI: The PROMISE12 challenge""' in full data; Publication Year is 2016 or 2017 or 2018 or 2019 or 2020 or 2021 or 2022 or 2015 or 2014. © 2023 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals,,,,,,,,,,,
8636,pub.1140492705,10.1016/j.euf.2021.07.017,34417153,,The Growing Role for Semantic Segmentation in Urology,"As the quantity and quality of cross-sectional imaging data increase, it is important to be able to make efficient use of the information. Semantic segmentation is an emerging technology that promises to improve the speed, reproducibility, and accuracy of analysis of medical imaging, and to allow visualization methods that were previously impossible. Manual image segmentation often requires expert knowledge and is both time- and cost-prohibitive in many clinical situations. However, automated methods, especially those using deep learning, show promise in alleviating this burden to make segmentation a standard tool for clinical intervention in the future. It is therefore important for clinicians to have a functional understanding of what segmentation is and to be aware of its uses. Here we include a number of examples of ways in which semantic segmentation has been put into practice in urology. PATIENT SUMMARY: This mini-review highlights the growing role of segmentation methods for medical images in urology to inform clinical practice. Segmentation methods show promise in improving the reliability of diagnosis and aiding in visualization, which may become a tool for patient education.",,,European Urology Focus,,"Deep Learning; Humans; Image Processing, Computer-Assisted; Reproducibility of Results; Semantics; Urology",2021-07,2021,2021-08-18,2021-07,7,4,692-695,Closed,Article,"Rickman, Jack; Struyk, Griffin; Simpson, Benjamin; Byun, Benjamin C; Papanikolopoulos, Nikolaos","Rickman, Jack (Minnesota Robotics Institute, University of Minnesota College of Science and Engineering, Minneapolis, MN, USA. Electronic address: rickm014@umn.edu.); Struyk, Griffin (University of Minnesota Medical School, Twin Cities Campus, Minneapolis, MN, USA.); Simpson, Benjamin (University of Minnesota Medical School, Twin Cities Campus, Minneapolis, MN, USA.); Byun, Benjamin C (University of Minnesota Medical School, Twin Cities Campus, Minneapolis, MN, USA.); Papanikolopoulos, Nikolaos (Minnesota Robotics Institute, University of Minnesota College of Science and Engineering, Minneapolis, MN, USA.)","Rickman, Jack (University of Minnesota)","Rickman, Jack (University of Minnesota); Struyk, Griffin (University of Minnesota); Simpson, Benjamin (University of Minnesota); Byun, Benjamin C (University of Minnesota); Papanikolopoulos, Nikolaos (University of Minnesota)",1,1,0.29,0.88,,https://app.dimensions.ai/details/publication/pub.1140492705,32 Biomedical and Clinical Sciences, 3202 Clinical Sciences,,,,,,,,,,,
7800,pub.1150860027,10.1109/embc48229.2022.9871334,36085623,,Multi-parametric Magnetic Resonance Imaging Fusion for Automatic Classification of Prostate Cancer,"Computer-aided diagnosis (CAD) of prostate cancer (PCa) using multi-parametric magnetic resonance imaging (mp-MRI) has recently gained great research interest. In this work, a fully automatic CAD pipeline of PCa using mp-MRI data is presented. In order to fully explore the mp-MRI data, we systematically investigate three multi-modal medical image fusion strategies in convolutional neural networks, namely input-level fusion, feature-level fusion, and decision-level fusion. Extensive experiments are conducted on two datasets with different PCa-related diagnostic tasks. We identify a pipeline that works relatively the best for both diagnostic tasks, two important components of which are stacking three adjacent slices as the input and performing decision-level fusion with specific loss weights. Clinical relevance- This work provides a practical method for automated diagnosis of PCa based on multi-parametric MRI.",,"This study was supported by the National Natural Science Foun-dation of China (62071210); the Shenzhen Basic Research Program (JCYJ20200925153847004, JCYJ20190809120205578); the High-level University Fund (G02236002).",Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"Diagnosis, Computer-Assisted; Humans; Magnetic Resonance Imaging; Male; Multiparametric Magnetic Resonance Imaging; Neural Networks, Computer; Prostatic Neoplasms",2022-07,2022,,2022-07,0,,471-474,Closed,Proceeding,"Huang, Weikai; Wang, Xiangyu; Huang, Yijin; Lin, Fan; Tang, Xiaoying","Huang, Weikai (Department of Electronic and Electrical Engineering, Southern University of Science and Technology, Shenzhen, China); Wang, Xiangyu (Department of Radiology, Shenzhen Second People's Hospital, Shenzhen, China); Huang, Yijin (Department of Electronic and Electrical Engineering, Southern University of Science and Technology, Shenzhen, China; School of Biomedical Engineering, University of British Columbia, Vancouver, British Columbia, Canada); Lin, Fan (Department of Radiology, Shenzhen Second People's Hospital, Shenzhen, China); Tang, Xiaoying (Department of Electronic and Electrical Engineering, Southern University of Science and Technology, Shenzhen, China)","Huang, Weikai (Southern University of Science and Technology); Wang, Xiangyu (Shenzhen Second People's Hospital); Lin, Fan (Shenzhen Second People's Hospital); Tang, Xiaoying (Southern University of Science and Technology)","Huang, Weikai (Southern University of Science and Technology); Wang, Xiangyu (Shenzhen Second People's Hospital); Huang, Yijin (Southern University of Science and Technology; University of British Columbia); Lin, Fan (Shenzhen Second People's Hospital); Tang, Xiaoying (Southern University of Science and Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1150860027,32 Biomedical and Clinical Sciences, 3202 Clinical Sciences, 3211 Oncology and Carcinogenesis, 46 Information and Computing Sciences,,,,,,,,,
7787,pub.1143756283,10.1109/embc46164.2021.9630792,34891962,,Deep learning model for automatic prostate segmentation on bicentric T2w images with and without endorectal coil,"Automatic segmentation of the prostate on Magnetic Resonance Imaging (MRI) is one of the topics on which research has focused in recent years as it is a fundamental first step in the building process of a Computer aided diagnosis (CAD) system for cancer detection. Unfortunately, MRI acquired in different centers with different scanners leads to images with different characteristics. In this work, we propose an automatic algorithm for prostate segmentation, based on a U-Net applying transfer learning method in a bi-center setting. First, T2w images with and without endorectal coil from 80 patients acquired at Center A were used as training set and internal validation set. Then, T2w images without endorectal coil from 20 patients acquired at Center B were used as external validation. The reference standard for this study was manual segmentation of the prostate gland performed by an expert operator. The results showed a Dice similarity coefficient >85% in both internal and external validation datasets.Clinical Relevance- This segmentation algorithm could be integrated into a CAD system to optimize computational effort in prostate cancer detection.",The research leading to these results has received funding from the Fondazione AIRC under IG2017 - ID.20398 project – P.I. Regge Daniele and from the European Union’s Horizon 2020 research and innovation program under grant agreement no 952159. The research leading to these results has received funding from the Fondazione AIRC under IG2017 - ID.20398 project – P.I. Regge Daniele and from the European Union’s Horizon 2020 research and innovation program under grant agreement no 952159.,,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),Algorithms, Deep Learning, Humans, Magnetic Resonance Imaging, Male, Prostate, Prostatic Neoplasms,2021-11,2021,,2021-11,0,,3370-3373,Closed,Proceeding,"Barra, Davide; Nicoletti, Giulia; Defeudis, Arianna; Mazzetti, Simone; Panic, Jovana; Gatti, Marco; Faletti, Riccardo; Russo, Filippo; Regge, Daniele; Giannini, Valentina","Barra, Davide (University of Turin, Department of Surgical Sciences, via Genova 3, 10126, Torino, Italy); Nicoletti, Giulia (University of Turin, Department of Surgical Sciences, via Genova 3, 10126, Torino, Italy); Defeudis, Arianna (University of Turin, Department of Surgical Sciences, via Genova 3, 10126, Torino, Italy); Mazzetti, Simone (University of Turin, Department of Surgical Sciences, via Genova 3, 10126, Torino, Italy); Panic, Jovana (Polytechnic of Turin, Department of Electronics and Telecommunications, Torino, Italy); Gatti, Marco (University of Turin, Department of Surgical Sciences, via Genova 3, 10126, Torino, Italy); Faletti, Riccardo (University of Turin, Department of Surgical Sciences, via Genova 3, 10126, Torino, Italy); Russo, Filippo (Candiolo Cancer Institute, FPO-IRCCS, Strada Provinciale 142, km 3.95, Candiolo (TO), Italy); Regge, Daniele (University of Turin, Department of Surgical Sciences, via Genova 3, 10126, Torino, Italy; Candiolo Cancer Institute, FPO-IRCCS, Strada Provinciale 142, km 3.95, Candiolo (TO), Italy); Giannini, Valentina (University of Turin, Department of Surgical Sciences, via Genova 3, 10126, Torino, Italy)","Barra, Davide (University of Turin)","Barra, Davide (University of Turin); Nicoletti, Giulia (University of Turin); Defeudis, Arianna (University of Turin); Mazzetti, Simone (University of Turin); Panic, Jovana (); Gatti, Marco (University of Turin); Faletti, Riccardo (University of Turin); Russo, Filippo (Candiolo Cancer Institute); Regge, Daniele (University of Turin; Candiolo Cancer Institute); Giannini, Valentina (University of Turin)",3,3,,2.17,,https://app.dimensions.ai/details/publication/pub.1143756283,32 Biomedical and Clinical Sciences, 3202 Clinical Sciences, 3211 Oncology and Carcinogenesis, 46 Information and Computing Sciences,,,
7774,pub.1152607511,10.1016/j.dib.2022.108739,36426089,PMC9679750,Dataset of prostate MRI annotated for anatomical zones and cancer,"In the present work, we present a publicly available, expert-segmented representative dataset of 158 3.0 Tesla biparametric MRIs [1]. There is an increasing number of studies investigating prostate and prostate carcinoma segmentation using deep learning (DL) with 3D architectures [2], [3], [4], [5], [6], [7]. The development of robust and data-driven DL models for prostate segmentation and assessment is currently limited by the availability of openly available expert-annotated datasets [8], [9], [10]. The dataset contains 3.0 Tesla MRI images of the prostate of patients with suspected prostate cancer. Patients over 50 years of age who had a 3.0 Tesla MRI scan of the prostate that met PI-RADS version 2.1 technical standards were included. All patients received a subsequent biopsy or surgery so that the MRI diagnosis could be verified/matched with the histopathologic diagnosis. For patients who had undergone multiple MRIs, the last MRI, which was less than six months before biopsy/surgery, was included. All patients were examined at a German university hospital (Charité Universitätsmedizin Berlin) between 02/2016 and 01/2020. All MRI were acquired with two 3.0 Tesla MRI scanners (Siemens VIDA and Skyra, Siemens Healthineers, Erlangen, Germany). Axial T2W sequences and axial diffusion-weighted sequences (DWI) with apparent diffusion coefficient maps (ADC) were included in the data set. T2W sequences and ADC maps were annotated by two board-certified radiologists with 6 and 8 years of experience, respectively. For T2W sequences, the central gland (central zone and transitional zone) and peripheral zone were segmented. If areas of suspected prostate cancer (PIRADS score of ≥ 4) were identified on examination, they were segmented in both the T2W sequences and ADC maps. Because restricted diffusion is best seen in DWI images with high b-values, only these images were selected and all images with low b-values were discarded. Data were then anonymized and converted to NIfTI (Neuroimaging Informatics Technology Initiative) format.","LCA is grateful for her participation in the BIH Charité Junior Clinician and Clinician Scientist Program and KKB is grateful for his participation in the BIH Charité Digital Clinician Scientist Program all funded by the Charité — Universitätsmedizin Berlin, the Berlin Institute of Health, and the Deutsche Forschungsgemeinschaft. We also thank the BIH for providing access to their HPC for Research cluster for our analysis. We acknowledge financial support from the Open Access Publication Fund of Charité – Universitätsmedizin Berlin and the German Research Foundation (DFG).",,Data in Brief,,,2022-11-09,2022,2022-11-09,2022-12,45,,108739,All OA, Gold,Article,"Adams, Lisa C.; Makowski, Marcus R.; Engel, Günther; Rattunde, Maximilian; Busch, Felix; Asbach, Patrick; Niehues, Stefan M.; Vinayahalingam, Shankeeth; van Ginneken, Bram; Litjens, Geert; Bressem, Keno K.","Adams, Lisa C. (Charité – Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt Universität zu Berlin, Institute for Radiology, Hindenburgdamm 30, 12203 Berlin, Germany; Berlin Institute of Health at Charité – Universitätsmedizin Berlin, Charitéplatz 1, 10117 Berlin, Germany); Makowski, Marcus R. (Technical University of Munich, Department of Diagnostic and Interventional Radiology, Faculty of Medicine, Ismaninger Str. 22, 81675, Munich, Germany); Engel, Günther (Charité – Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt Universität zu Berlin, Institute for Radiology, Hindenburgdamm 30, 12203 Berlin, Germany; Institute for Diagnostic and Interventional Radiology, Georg-August University, Göttingen, Germany); Rattunde, Maximilian (Charité – Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt Universität zu Berlin, Institute for Radiology, Hindenburgdamm 30, 12203 Berlin, Germany); Busch, Felix (Charité – Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt Universität zu Berlin, Institute for Radiology, Hindenburgdamm 30, 12203 Berlin, Germany); Asbach, Patrick (Charité – Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt Universität zu Berlin, Institute for Radiology, Hindenburgdamm 30, 12203 Berlin, Germany); Niehues, Stefan M. (Charité – Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt Universität zu Berlin, Institute for Radiology, Hindenburgdamm 30, 12203 Berlin, Germany); Vinayahalingam, Shankeeth (Radboud University Medical Center, Nijmegen, GA, The Netherlands); van Ginneken, Bram (Radboud University Medical Center, Nijmegen, GA, The Netherlands); Litjens, Geert (Radboud University Medical Center, Nijmegen, GA, The Netherlands); Bressem, Keno K. (Charité – Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt Universität zu Berlin, Institute for Radiology, Hindenburgdamm 30, 12203 Berlin, Germany)","Bressem, Keno K. (Charité - University Medicine Berlin)","Adams, Lisa C. (Charité - University Medicine Berlin; Berlin Institute of Health at Charité - Universitätsmedizin Berlin); Makowski, Marcus R. (Technical University of Munich); Engel, Günther (Charité - University Medicine Berlin; University of Göttingen); Rattunde, Maximilian (Charité - University Medicine Berlin); Busch, Felix (Charité - University Medicine Berlin); Asbach, Patrick (Charité - University Medicine Berlin); Niehues, Stefan M. (Charité - University Medicine Berlin); Vinayahalingam, Shankeeth (Radboud University Nijmegen Medical Centre); van Ginneken, Bram (Radboud University Nijmegen Medical Centre); Litjens, Geert (Radboud University Nijmegen Medical Centre); Bressem, Keno K. (Charité - University Medicine Berlin)",0,0,,,https://doi.org/10.1016/j.dib.2022.108739,https://app.dimensions.ai/details/publication/pub.1152607511,32 Biomedical and Clinical Sciences, 3202 Clinical Sciences, 3211 Oncology and Carcinogenesis,,,,,,,,,
7252,pub.1138464996,10.1016/j.cmpb.2021.106211,34134076,,PSP net-based automatic segmentation network model for prostate magnetic resonance imaging,"PURPOSE: Prostate cancer is a common cancer. To improve the accuracy of early diagnosis, we propose a prostate Magnetic Resonance Imaging (MRI) segmentation model based on Pyramid Scene Parsing Network (PSP Net).
METHOD: A total of 270 prostate MRI images were collected, and the data set was divided. Contrast limited adaptive histogram equalization (CLAHE) was enhanced in this study. We use the prostate MRI segmentation model based on PSP net, and use segmentation accuracy, under segmentation rate, over segmentation rate and receiver operating characteristic (ROC) curve evaluation index to compare the segmentation effect based on FCN and U-Net.
RESULTS: PSP net has the highest segmentation accuracy of 0.9865, over segmentation rate of 0.0023, under segmentation rate of 0.1111, which is less than FCN and U-Net. The ROC curve of PSP net is closest to the upper left corner, AUC is 0.9427, larger than FCN and U-Net.
CONCLUSION: This paper proves through a large number of experimental results that the prostate MRI automatic segmentation network model based on PSP Net is able to improve the accuracy of segmentation, relieve the workload of doctors, and is worthy of further clinical promotion.",Special appreciation is extended to radiologists of the Fifth Affiliated Hospital of Southern Medical University of Guangzhou for their help in imaging the prostate based on the patients they collected.,,Computer Methods and Programs in Biomedicine,,"Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Neural Networks, Computer; Prostatic Neoplasms",2021-05-29,2021,2021-05-29,2021-08,207,,106211,Closed,Article,"Yan, Lingfei; Liu, Dawei; Xiang, Qi; Luo, Yang; Wang, Tao; Wu, Dali; Chen, Haiping; Zhang, Yu; Li, Qing","Yan, Lingfei (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China. Electronic address: gzgyylf1@163.com.); Liu, Dawei (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China.); Xiang, Qi (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China.); Luo, Yang (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China.); Wang, Tao (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China.); Wu, Dali (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China.); Chen, Haiping (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China.); Zhang, Yu (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China.); Li, Qing (Department of Urology, the Fifth Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong 11100, China.)","Yan, Lingfei (Southern Medical University)","Yan, Lingfei (Southern Medical University); Liu, Dawei (Southern Medical University); Xiang, Qi (Southern Medical University); Luo, Yang (Southern Medical University); Wang, Tao (Southern Medical University); Wu, Dali (Southern Medical University); Chen, Haiping (Southern Medical University); Zhang, Yu (Southern Medical University); Li, Qing (Southern Medical University)",15,15,1.89,10.09,,https://app.dimensions.ai/details/publication/pub.1138464996,40 Engineering, 4003 Biomedical Engineering, 46 Information and Computing Sciences, 4601 Applied Computing, 4603 Computer Vision and Multimedia Computation,,,,,,,,
7022,pub.1134184364,10.1016/j.compmedimag.2020.101848,33385932,,Automatic brain extraction from 3D fetal MR image with deep learning-based multi-step framework,"Brain extraction is a fundamental prerequisite step in neuroimage analysis for fetus. Due to surrounding maternal tissues and unpredictable movement, brain extraction from fetal Magnetic Resonance (MR) images is a challenging task. In this paper, we propose a novel deep learning-based multi-step framework for brain extraction from 3D fetal MR images. In the first step, a global localization network is applied to estimate probability maps for brain candidates. Connected-component labeling algorithm is applied to eliminate small erroneous components and accurately locate the candidate brain area. In the second step, a local refinement network is implemented in the brain candidate area to obtain fine-grained probability maps. Final extraction results are derived by a fusion network with the two cascaded probability maps obtained from previous two steps. Experimental results demonstrate that our proposed method has superior performance compared with existing deep learning-based methods.",The work described in this paper was partially supported by Natural Science Foundation of Shanghai [grant number: 19ZR1407200] and Natural Science Foundation of Fujian Province [grant number: 2018J01637].,,Computerized Medical Imaging and Graphics,,"Brain; Deep Learning; Fetus; Image Processing, Computer-Assisted; Magnetic Resonance Imaging",2020-12-29,2020,2020-12-29,2021-03,88,,101848,Closed,Article,"Chen, Jian; Fang, Zhenghan; Zhang, Guofu; Ling, Lei; Li, Gang; Zhang, He; Wang, Li","Chen, Jian (School of Electronic, Electrical Engineering and Physics, Fujian University of Technology, Fuzhou, Fujian, 350118, China. Electronic address: jianchen@fjut.edu.cn.); Fang, Zhenghan (Department of Radiology and BRIC, University of North Carolina at Chapel Hill, NC, 27517, USA.); Zhang, Guofu (Department of Radiology, Obstetrics and Gynecology Hospital, Fudan University, Shanghai, 200011, China.); Ling, Lei (Department of Radiology, Obstetrics and Gynecology Hospital, Fudan University, Shanghai, 200011, China.); Li, Gang (Department of Radiology and BRIC, University of North Carolina at Chapel Hill, NC, 27517, USA.); Zhang, He (Department of Radiology, Obstetrics and Gynecology Hospital, Fudan University, Shanghai, 200011, China. Electronic address: dr.zhanghe@yahoo.com.); Wang, Li (Department of Radiology and BRIC, University of North Carolina at Chapel Hill, NC, 27517, USA. Electronic address: li_wang@med.unc.edu.)","Chen, Jian (Fujian University of Technology); Zhang, He (Fudan University); Wang, Li (University of North Carolina at Chapel Hill)","Chen, Jian (Fujian University of Technology); Fang, Zhenghan (University of North Carolina at Chapel Hill); Zhang, Guofu (Fudan University); Ling, Lei (Fudan University); Li, Gang (University of North Carolina at Chapel Hill); Zhang, He (Fudan University); Wang, Li (University of North Carolina at Chapel Hill)",3,3,0.86,1.55,,https://app.dimensions.ai/details/publication/pub.1134184364,40 Engineering, 46 Information and Computing Sciences, 4611 Machine Learning,,,,,,,,,,
6974,pub.1143784254,10.1007/s10334-021-00979-0,34890013,,Automatic prostate segmentation of magnetic resonance imaging using Res-Net,"ObjectivesSegmenting the prostate from magnetic resonance images plays an important role in prostate cancer diagnosis and in evaluating the treatment response. However, the lack of a clear prostate boundary, heterogeneity of prostate tissue, large variety of prostate shape and scarcity of annotated training data makes automatic segmentation a very challenging task. In this work, we proposed a novel two stage segmentation method to automatically segment prostate to support accurate and reproducible results with multisite and multivendor dataset. In the proposed method, we use the combination U-Net with residual blocks.MethodsThe proposed method comprises two stage neural network, first is 2D U-Net, used find the approximate location of prostate, the second is the combination of U-Net and Res-Net used for accurate segmentation of prostate. The network was trained on 116 patient datasets from three publicly available data sources. 80% of data is used for training, 10% for validation, and 10% for testing. The commonly used segmentation evaluation metrics Dice similarity coefficient (DSC), Sensitivity, and Specificity are used for quantitative evaluation of the network.ResultsWith the proposed method average DSC value of 93.8%, Sensitivity value of 94.6% and Specificity of 99.3% was achieved on test datasets.ConclusionsOur experimental results show that the segmentation accuracy can be improved significantly using two stage neural networks.",,,"Magnetic Resonance Materials in Physics, Biology and Medicine",,"Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Neural Networks, Computer; Prostate; Prostatic Neoplasms",2021-12-10,2021,2021-12-10,2022-08,35,4,621-630,Closed,Article,"Kumaraswamy, Asha Kuppe; Patil, Chandrashekar M.","Kumaraswamy, Asha Kuppe (Department of Electronics and Communication, Vidyavardhaka College of Engineering, Mysuru, India); Patil, Chandrashekar M. (Department of Electronics and Communication, Vidyavardhaka College of Engineering, Mysuru, India)","Kumaraswamy, Asha Kuppe ","Kumaraswamy, Asha Kuppe (); Patil, Chandrashekar M. ()",1,1,,0.72,,https://app.dimensions.ai/details/publication/pub.1143784254,32 Biomedical and Clinical Sciences, 3202 Clinical Sciences, 3211 Oncology and Carcinogenesis, 46 Information and Computing Sciences,,,,,,,,,
6821,pub.1092356936,10.1109/embc.2017.8037618,29060659,,Multi-View Collaborative Segmentation for Prostate MRI Images,"Prostate delineation from MRI images is a prolonged challenging issue partially due to appearance variations across patients and disease progression. To address these challenges, our proposed collaborative method takes into account the computed multiple label-relevance maps as multiple views for learning the optimal boundary delineation. In our method, we firstly extracted multiple label-relevance maps to represent the affinities between each unlabeled pixel to the pre-defined labels to avoid the selection of handcrafted features. Then these maps were incorporated in a collaborative clustering to learn the adaptive weights for an optimal segmentation which overcomes the seeds selection sensitivity problems. The segmentation results were evaluated over 22 prostate MRI patient studies with respect to dice similarity coefficient (DSC), absolute relative volume difference (ARVD) and average symmetric surface distance (ASSD) (mm). The results and t-Test demonstrated that the proposed method improved the segmentation accuracy and robustness and the improvement was statistically significant.",,,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),Algorithms, Humans, Magnetic Resonance Imaging, Male, Prostate,2017-07,2017,,2017-07,2017,,3529-3532,Closed,Proceeding,"Wang, Xiuying; Tang, Wensi; Cui, Hui; Zeng, Shan; Feng, David Dagan; Fulham, Michael","Wang, Xiuying (Biomedical and Multimedia Information Technology (BMIT) research group, School of Information Technologies, University of Sydney, Australia); Tang, Wensi (Biomedical and Multimedia Information Technology (BMIT) research group, School of Information Technologies, University of Sydney, Australia); Cui, Hui (Biomedical and Multimedia Information Technology (BMIT) research group, School of Information Technologies, University of Sydney, Australia); Zeng, Shan (School of Mathematics and Computer Science, Wuhan Polytechnic University, China); Feng, David Dagan (BMIT research group, School of Information Technologies, University of Sydney, Australia and Med-X Research Institute, Shanghai Jiao Tong University, China); Fulham, Michael (Faculty of Medicine, University of Sydney, Department of PET and Nuclear Medicine, Royal Prince Alfred Hospital, Australia)",,"Wang, Xiuying (The University of Sydney); Tang, Wensi (The University of Sydney); Cui, Hui (The University of Sydney); Zeng, Shan (Wuhan Polytechnic University); Feng, David Dagan (The University of Sydney; Shanghai Jiao Tong University); Fulham, Michael (The University of Sydney; Royal Prince Alfred Hospital)",2,0,,0.5,,https://app.dimensions.ai/details/publication/pub.1092356936,32 Biomedical and Clinical Sciences, 3202 Clinical Sciences, 3211 Oncology and Carcinogenesis,,,,,,
6767,pub.1142715307,10.1155/2021/4553832,34819951,PMC8608531,An Optimized Approach for Prostate Image Segmentation Using K-Means Clustering Algorithm with Elbow Method,"Prostate cancer disease is one of the common types that cause men's prostate damage all over the world. Prostate-specific membrane antigen (PSMA) expressed by type-II is an extremely attractive style for imaging-based diagnosis of prostate cancer. Clinically, photodynamic therapy (PDT) is used as noninvasive therapy in treatment of several cancers and some other diseases. This paper aims to segment or cluster and analyze pixels of histological and near-infrared (NIR) prostate cancer images acquired by PSMA-targeting PDT low weight molecular agents. Such agents can provide image guidance to resection of the prostate tumors and permit for the subsequent PDT in order to remove remaining or noneradicable cancer cells. The color prostate image segmentation is accomplished using an optimized image segmentation approach. The optimized approach combines the k-means clustering algorithm with elbow method that can give better clustering of pixels through automatically determining the best number of clusters. Clusters' statistics and ratio results of pixels in the segmented images show the applicability of the proposed approach for giving the optimum number of clusters for prostate cancer analysis and diagnosis.","This project was funded by the National Plan for Science, Technology, and Innovation (MAARIFAH) and King Abdulaziz City for Science and Technology, Kingdom of Saudi Arabia, Award number 10-Bio-1905.",,Computational Intelligence and Neuroscience,,Algorithms, Cluster Analysis, Elbow, Humans, Male, Prostatic Neoplasms,2021-11-15,2021,2021-11-15,2021-11-15,2021,,4553832,All OA, Gold,Article,"Sammouda, Rachid; El-Zaart, Ali","Sammouda, Rachid (Department of Computer Science, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia, ksu.edu.sa); El-Zaart, Ali (Department of Mathematics and Computer Science, Faculty of Sciences, Beirut Arab University, Beirut, Lebanon, bau.edu.lb)","Sammouda, Rachid (King Saud University); El-Zaart, Ali (Beirut Arab University)","Sammouda, Rachid (King Saud University); El-Zaart, Ali (Beirut Arab University)",16,16,2.24,9.7,https://downloads.hindawi.com/journals/cin/2021/4553832.pdf,https://app.dimensions.ai/details/publication/pub.1142715307,32 Biomedical and Clinical Sciences, 3211 Oncology and Carcinogenesis,,,,,
6767,pub.1139509130,10.1007/s10916-021-01751-6,34232409,,Versatile Convolutional Networks Applied to Computed Tomography and Magnetic Resonance Image Segmentation,"Medical image segmentation has seen positive developments in recent years but remains challenging with many practical obstacles to overcome. The applications of this task are wide-ranging in many fields of medicine, and used in several imaging modalities which usually require tailored solutions. Deep learning models have gained much attention and have been lately recognized as the most successful for automated segmentation. In this work we show the versatility of this technique by means of a single deep learning architecture capable of successfully performing segmentation on two very different types of imaging: computed tomography and magnetic resonance. The developed model is fully convolutional with an encoder-decoder structure and high-resolution pathways which can process whole three-dimensional volumes at once, and learn directly from the data to find which voxels belong to the regions of interest and localize those against the background. The model was applied to two publicly available datasets achieving equivalent results for both imaging modalities, as well as performing segmentation of different organs in different anatomic regions with comparable success.",,,Journal of Medical Systems,,"Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Magnetic Resonance Spectroscopy; Neural Networks, Computer; Tomography, X-Ray Computed",2021-07-07,2021,2021-07-07,2021-08,45,8,79,All OA, Green,Article,"Almeida, Gonçalo; Tavares, João Manuel R. S.","Almeida, Gonçalo (Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial, Faculdade de Engenharia, Universidade do Porto, Rua Dr. Roberto Frias, s/n, 4200-465, Porto, Portugal); Tavares, João Manuel R. S. (Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial, Departamento de Engenharia Mecânica, Faculdade de Engenharia, Universidade do Porto, Rua Dr. Roberto Frias, s/n, 4200-465, Porto, Portugal)","Tavares, João Manuel R. S. (University of Porto)","Almeida, Gonçalo (University of Porto); Tavares, João Manuel R. S. (University of Porto)",2,2,,1.75,https://repositorio-aberto.up.pt/bitstream/10216/134300/2/478860.pdf,https://app.dimensions.ai/details/publication/pub.1139509130,42 Health Sciences, 4203 Health Services and Systems,,,,,,,,,,
