,0
The,379
segmentation,376
In,343
cardiac,316
image,297
learning,272
We,269
method,258
deep,257
proposed,252
results,232
data,225
medical,225
images,220
performance,217
model,217
network,205
using,205
propose,205
based,195
methods,194
clinical,191
"However,",187
neural,183
imaging,180
resonance,177
magnetic,172
training,169
used,169
two,168
This,168
state-of-the-art,167
different,162
MRI,158
show,148
To,147
novel,141
left,138
"paper,",136
networks,135
Our,135
compared,132
models,129
approach,128
convolutional,127
also,127
dataset,127
Dice,126
accuracy,126
datasets,123
information,121
segmentation.,120
analysis,118
use,112
trained,110
large,110
better,110
images.,108
framework,107
accurate,104
improve,103
demonstrate,102
"segmentation,",98
ventricle,97
available,96
new,95
fully,94
A,93
high,91
automated,90
Cardiac,89
evaluated,89
due,89
diagnosis,89
features,88
function,88
automatic,88
heart,84
data.,84
achieved,84
existing,84
present,83
cardiovascular,83
manual,83
first,83
loss,82
three,80
potential,79
important,79
right,78
approaches,78
including,76
feature,76
myocardial,74
without,74
ventricular,74
study,74
experiments,74
myocardium,73
MR,73
disease,72
limited,72
Deep,72
patients,71
paper,69
ACDC,69
datasets.,69
well,69
set,69
methods.,68
(CMR),68
one,67
3D,67
CMR,66
learn,66
volume,65
many,65
provide,65
various,65
still,65
input,64
average,64
challenging,64
shape,63
achieves,63
"images,",63
mean,63
architecture,63
"data,",63
multiple,63
cine,62
achieve,62
"Furthermore,",62
challenge,62
task,61
segment,61
provides,61
several,61
evaluation,61
dataset.,60
techniques,60
improved,60
tasks,59
public,59
field,59
LV,58
evaluate,58
applied,58
generate,57
distance,57
coefficient,57
spatial,57
developed,57
significant,57
"work,",57
work,57
Segmentation,56
semantic,56
promising,56
standard,56
2D,55
significantly,55
(LV),55
test,55
attention,55
prediction,54
ability,54
U-Net,54
short-axis,53
current,53
global,53
parameters,53
quality,53
time,53
research,53
process,52
For,52
efficient,52
terms,52
performed,51
obtained,51
(MRI),51
outperforms,51
problem,51
classification,50
structure,50
could,50
"dataset,",50
obtain,49
number,49
develop,49
across,49
review,49
performance.,49
semi-supervised,49
motion,49
correlation,48
algorithm,48
reduce,48
ejection,48
good,47
recent,47
applications,47
It,47
step,47
requires,46
may,46
"datasets,",46
"Finally,",45
effective,45
perform,45
structures,45
supervised,45
learning-based,45
algorithms,45
application,45
assessment,45
showed,45
model.,45
highly,45
tasks.,45
address,44
artificial,44
anatomical,44
With,44
subjects,44
Experimental,43
domain,43
Automated,43
need,43
shown,43
demonstrated,42
Challenge,42
human,42
knowledge,42
module,42
CNN,42
target,42
machine,42
respectively.,41
intelligence,41
"addition,",41
experimental,41
common,41
Hausdorff,40
introduce,40
small,40
segmentations,40
method.,40
adversarial,39
prior,39
studies,39
generated,39
often,39
"methods,",38
role,38
via,38
labeled,38
annotated,38
robust,38
fraction,38
acquired,37
comparable,37
patient,37
publicly,37
"learning,",37
automatically,37
designed,37
volumes,37
score,36
strategy,36
maps,36
local,36
within,36
future,36
"Moreover,",36
single,36
healthy,36
order,36
allows,36
require,36
great,36
CT,35
effectively,35
train,35
crucial,35
computational,35
time-consuming,35
"Specifically,",35
development,35
unlabeled,35
corresponding,35
quantification,35
estimation,35
quantitative,35
amount,35
lack,34
key,34
especially,34
major,34
complex,34
thus,34
consists,34
diagnosis.,34
generative,33
region,33
four,33
accuracy.,33
low,33
robustness,33
Diagnosis,33
registration,33
diseases,33
assess,33
uses,33
2017,33
regions,33
volumetric,33
metrics,32
similarity,32
manually,32
These,32
made,32
diseases.,32
improves,32
best,32
derived,32
higher,32
success,32
similar,32
"models,",32
widely,32
tested,32
function.,32
labels,32
generalization,32
On,31
among,31
directly,31
segmented,31
error,31
results.,31
extract,31
reliable,31
way,31
predictions,31
treatment,31
Extensive,31
representation,31
output,31
values,31
computed,31
specific,31
training.,31
"model,",31
traditional,31
useful,30
plays,30
"performance,",30
MICCAI,30
convolution,30
interest,30
distribution,30
validated,30
testing,30
functional,30
unsupervised,30
end-to-end,30
"problem,",30
impact,30
(DL),30
context,30
scores,30
enables,30
computer,30
improving,30
space,29
detection,29
make,29
relevant,29
challenges,29
essential,29
conventional,29
processing,29
combining,29
main,29
features.,29
learned,29
focus,28
(RV),28
differences,28
tissue,28
AI,28
predict,28
help,28
variety,28
effectiveness,28
consistency,28
solution,28
multi-scale,28
agreement,28
(CNNs),28
=,28
network.,28
design,28
improvement,28
annotations,28
strong,27
difficult,27
end-systolic,27
analysis.,27
particularly,27
Convolutional,27
identify,27
dice,27
predicted,27
slices,27
"accuracy,",27
vision,27
simple,27
"analysis,",27
level,27
Results,27
technique,27
code,27
second,27
critical,27
Medical,26
imaging.,26
models.,26
accurately,26
Neural,26
anatomy,26
reference,26
applications.,26
supervision,26
additional,26
architectures,26
related,26
"training,",26
temporal,26
diagnostic,26
augmentation,26
capture,26
area,26
risk,26
unseen,26
reconstruction,26
fast,25
Cardiovascular,25
DL,25
pixel-wise,25
increase,25
usually,25
(CNN),25
cause,25
size,25
transfer,25
"Therefore,",25
learning.,25
remains,25
±,25
Abstract,25
task.,25
end-diastolic,25
(ACDC),25
excellent,24
less,24
clinically,24
efficiency,24
tool,24
MRI.,24
As,24
previous,24
acquisition,24
lower,24
provided,24
combination,24
Compared,24
Left,24
contrast,24
validation,24
towards,23
solve,23
"tasks,",23
proposes,23
layers,23
errors,23
conducted,23
"networks,",23
comparison,23
Although,23
"study,",23
"First,",23
sets,23
modality,23
resulting,23
enhance,23
required,23
result,23
Experiments,23
baseline,23
enable,23
uncertainty,23
whether,23
modalities,23
segmenting,23
employed,23
deformation,23
networks.,23
mm,23
class,23
"years,",23
providing,23
"network,",23
DSC,23
Automatic,23
•,23
Magnetic,23
"time,",22
aims,22
field.,22
state,22
contour,22
"diagnosis,",22
boundary,22
short,22
produce,22
large-scale,22
intensity,22
competitive,22
synthetic,22
"Recently,",22
simultaneously,22
mainly,22
limitations,22
pathology,22
statistical,22
experts,22
leading,22
"myocardium,",21
sequences,21
"particular,",21
resolution,21
mechanism,21
strategies,21
explore,21
benchmark,21
"features,",21
improvements,21
achieving,21
information.,21
become,21
expert,21
commonly,21
increased,21
successfully,21
cases,21
incorporate,21
time.,21
open,21
Network,21
ground,21
lead,21
superior,21
range,21
cavity,21
patients.,21
CNNs,21
support,21
reducing,21
parameters.,20
compare,20
encoder,20
aim,20
shows,20
Despite,20
samples,20
Image,20
latent,20
reduced,20
shift,20
residual,20
ventricles,20
"Additionally,",20
discuss,20
faster,20
associated,20
full,20
problems,20
real,20
functions,20
works,20
variability,20
difference,20
label,20
progress,20
RV,20
utilized,20
map,20
extracted,20
regional,20
analyze,20
pipeline,20
even,20
tomography,20
realistic,20
along,20
generalizability,19
caused,19
"imaging,",19
early,19
wide,19
investigate,19
characteristics,19
extraction,19
detect,19
practical,19
original,19
optimization,19
capability,19
Accurate,19
introduced,19
value,19
comprehensive,19
disease.,19
mass,19
scheme,19
possible,19
contours,19
pathological,19
source,19
yet,19
estimate,19
(AI),19
scans,18
sequence,18
extensive,18
substantially,18
leads,18
bias,18
exploit,18
advantage,18
random,18
learns,18
natural,18
Resonance,18
expensive,18
coefficients,18
ensemble,18
recently,18
Using,18
long,18
final,18
called,18
presents,18
heart.,18
annotation,18
"however,",18
integrated,18
able,18
whole,18
assessing,18
found,18
10,18
"approaches,",18
efficiently,18
consistent,18
structures.,18
mapping,18
combined,18
"method,",18
By,18
initial,17
organs,17
An,17
"framework,",17
"volume,",17
structural,17
visual,17
makes,17
teacher,17
layer,17
object,17
includes,17
regularization,17
annotations.,17
regions.,17
either,17
fusion,17
endocardium,17
tackle,17
block,17
making,17
meaningful,17
representations,17
process.,17
truth,17
underlying,17
optimized,17
algorithms.,17
organ,17
measurements,17
While,17
atrial,17
"approach,",17
advances,17
"end,",17
regression,17
utilize,17
allow,17
control,17
50,17
system,16
Learning,16
"function,",16
outperformed,16
gap,16
examples,16
focused,16
heterogeneous,16
Artificial,16
transformer,16
reduction,16
pixel,16
late,16
frames,16
surface,16
validate,16
cases.,16
masks,16
overall,16
assist,16
slice,16
five,16
represent,16
Imaging,16
yielded,16
every,16
cost,16
suffer,16
1,16
despite,16
presence,16
generation,16
cohort,16
2,16
correlated,16
integration,16
procedure,16
incorporating,16
overview,16
encoder-decoder,16
needs,16
"information,",16
gradient,16
presented,16
"i.e.,",16
understanding,16
leverage,16
brain,16
cannot,16
areas,16
long-axis,16
enabling,16
rely,16
-,15
diverse,15
patterns,15
approaches.,15
advanced,15
times,15
tools,15
segments,15
according,15
utilizing,15
contextual,15
since,15
adopted,15
Based,15
active,15
measures,15
volumes.,15
general,15
practice.,15
downstream,15
measure,15
followed,15
importance,15
yields,15
There,15
successful,15
inference,15
demonstrates,15
included,15
selected,15
popular,15
utility,15
conduct,15
modeling,15
complexity,15
form,15
dynamic,15
"U-Net,",15
tracking,15
wall,15
approach.,15
dilated,15
"MRI,",15
implemented,15
purpose,15
contains,15
generating,15
outputs,15
"applications,",15
constraint,15
previously,15
pixel-level,15
takes,15
software,15
identification,15
techniques.,15
handle,14
currently,14
slices.,14
Since,14
needed,14
stroke,14
Recent,14
calculated,14
optimal,14
interpolation,14
combines,14
U-net,14
individual,14
binary,14
determine,14
metric,14
relatively,14
constraints,14
challenge.,14
(DSC),14
advantages,14
apply,14
"process,",14
Given,14
"Thus,",14
subject,14
increasing,14
changes,14
imbalance,14
availability,14
case,14
plausible,14
"task,",14
domain.,14
quantify,14
"volumes,",14
enhanced,14
"structures,",14
solutions,14
gold,14
aimed,14
offers,14
infarction,14
assessed,14
absolute,14
containing,14
"Further,",14
highlight,14
outperforming,14
independent,14
overcome,14
"architecture,",14
addition,14
properties,14
noise,14
scanner,14
dense,14
"cavity,",14
consisting,14
would,14
enhancement,14
promise,14
image.,14
practice,14
gadolinium,14
applying,14
conditional,14
artifacts,14
"(e.g.,",14
linear,14
measured,14
biomedical,13
end-diastole,13
setting,13
given,13
total,13
Due,13
"ventricle,",13
"set,",13
(ED),13
find,13
performing,13
priors,13
spatio-temporal,13
estimated,13
showing,13
respect,13
precise,13
sources,13
quality.,13
"Second,",13
encourage,13
direct,13
represents,13
high-quality,13
weakly,13
"parameters,",13
(MR),13
<,13
"techniques,",13
relationship,13
hard,13
evolution,13
rate,13
employ,13
decision,13
ML,13
challenges.,13
entire,13
generic,13
axis,13
"results,",13
(2),13
avoid,13
deformable,13
continuous,13
fewer,13
technology,13
randomly,13
normalization,13
adaptive,13
student,13
describe,13
video,13
(1),13
measurement,13
decoder,13
consider,12
Methods,12
seen,12
implementation,12
(CT),12
maps.,12
series,12
ablation,12
architecture.,12
"respectively,",12
considering,12
strain,12
create,12
change,12
generates,12
developments,12
ensure,12
pre-trained,12
death,12
helps,12
mortality,12
relies,12
long-range,12
focusing,12
pyramid,12
typically,12
adaptation,12
indicate,12
addressing,12
iterative,12
prone,12
built,12
geometric,12
manner,12
extended,12
combine,12
transformation,12
suggest,12
component,12
limiting,12
index,12
groups,12
One,12
(ES),12
2020,12
optimize,12
studies.,12
difficulty,12
refined,12
auxiliary,12
labels.,12
subsequent,12
known,12
space.,12
"Particularly,",12
selection,12
probability,12
Networks,12
underwent,12
big,12
introduces,12
weighted,12
considered,12
variational,12
estimates,12
modules,12
pathologies.,12
planning,12
framework.,12
blocks,12
"challenge,",12
art,12
variations,12
include,12
group,12
speed,12
labeling,12
classical,12
20,12
blood,12
Right,12
"Hence,",12
following,12
issue,12
