name,DOI,publication_year,dataset_used,task
None,10.1016/j.phro.2019.11.006,2019,PROMISE12,Cardiac
None,10.3390/app11020782,2021,PROMISE12,Cardiac
None,10.3390/jimaging8050133,2022,PROMISE12,Cardiac
None,10.1117/1.JMI.7.4.046501,2020,PROMISE12,Cardiac
None,10.1109/TMI.2020.3006437,2020,PROMISE12,Cardiac
None,10.1002/mp.15268,2021,PROMISE12,Cardiac
None,10.1117/1.JMI.9.2.024001,2022,PROMISE12,Cardiac
None,10.3390/diagnostics11020354,2021,PROMISE12,Cardiac
None,10.1109/isbi.2019.8759295,2019,PROMISE12,Cardiac
None,10.1148/rycan.2021200024,2021,PROMISE12,Cardiac
None,10.1186/s40658-021-00426-y,2021,PROMISE12,Cardiac
None,10.21037/qims-21-459,2022,PROMISE12,Cardiac
None,10.3389/fonc.2020.01762,2020,PROMISE12,Cardiac
None,10.1038/s41391-022-00537-2,2022,PROMISE12,Cardiac
None,10.1109/TMI.2021.3055428,2021,PROMISE12,Cardiac
None,10.1038/s41467-021-26216-9,2021,PROMISE12,Cardiac
None,10.1007/s10334-020-00871-3,2021,PROMISE12,Cardiac
None,10.1109/access.2021.3100585,2021,PROMISE12,Cardiac
None,10.1007/s10334-022-01003-9,2022,PROMISE12,Cardiac
None,10.21037/qims-21-175,2021,PROMISE12,Cardiac
None,10.2214/AJR.19.22347,2020,PROMISE12,Cardiac
None,10.3390/diagnostics12020289,2022,PROMISE12,Cardiac
None,10.3390/s21144758,2021,PROMISE12,Cardiac
None,10.3390/cancers13236138,2021,PROMISE12,Cardiac
None,10.1155/2020/8861035,2020,PROMISE12,Cardiac
None,10.1007/s00259-021-05497-8,2022,PROMISE12,Cardiac
None,10.1109/TMI.2020.3025517,2021,PROMISE12,Cardiac
None,10.1155/2021/4553832,2021,PROMISE12,Cardiac
None,10.1016/j.ijrobp.2021.12.153,2022,PROMISE12,Cardiac
None,10.1109/ACCESS.2020.3027738,2020,PROMISE12,Cardiac
None,10.1007/s11263-020-01321-2,2020,PROMISE12,Cardiac
None,10.1371/journal.pone.0253829,2021,PROMISE12,Cardiac
None,10.3390/diagnostics10090714,2020,PROMISE12,Cardiac
None,10.1186/s13244-021-01010-9,2021,PROMISE12,Cardiac
None,10.1016/j.media.2020.101845,2021,PROMISE12,Cardiac
None,10.3389/fninf.2021.782262,2021,PROMISE12,Cardiac
None,10.3390/diagnostics11111964,2021,PROMISE12,Cardiac
None,10.3390/jimaging6090083,2020,PROMISE12,Cardiac
None,10.1097/JU.0000000000001783,2021,PROMISE12,Cardiac
None,10.1186/s13014-022-02035-0,2022,PROMISE12,Cardiac
None,10.3390/s21237936,2021,PROMISE12,Cardiac
None,10.1177/17562872221128791,2022,PROMISE12,Cardiac
None,10.3390/bioengineering9080343,2022,PROMISE12,Cardiac
None,10.1117/12.2581893,2021,PROMISE12,Cardiac
None,10.1016/j.media.2022.102596,2022,PROMISE12,Cardiac
None,10.1186/s41747-022-00288-8,2022,PROMISE12,Cardiac
None,10.21037/qims-22-332,2022,PROMISE12,Cardiac
None,10.1016/j.asmr.2022.04.020,2022,PROMISE12,Cardiac
None,10.4172/2167-0870.1000e117,2014,PROMISE12,Cardiac
None,10.1016/j.media.2017.07.004,2017,PROMISE12,Cardiac
None,10.1109/TMI.2015.2496296,2016,PROMISE12,Cardiac
None,10.1038/srep41261,2017,PROMISE12,Cardiac
None,10.1016/j.acra.2016.03.010,2016,PROMISE12,Cardiac
None,10.1117/12.2082255,2015,PROMISE12,Cardiac
None,10.1002/mp.12048,2017,PROMISE12,Cardiac
None,10.1007/s10278-017-9964-7,2017,PROMISE12,Cardiac
None,10.1007/s10278-016-9890-0,2016,PROMISE12,Cardiac
None,10.1186/s12880-015-0068-x,2015,PROMISE12,Cardiac
None,10.1117/1.JMI.2.2.025002,2015,PROMISE12,Cardiac
None,10.1155/2014/789561,2014,PROMISE12,Cardiac
None,10.1117/1.JMI.4.4.041307,2017,PROMISE12,Cardiac
None,10.1117/1.JMI.4.4.041302,2017,PROMISE12,Cardiac
None,10.1117/1.JMI.3.1.014003,2016,PROMISE12,Cardiac
None,10.1016/j.media.2016.07.009,2017,PROMISE12,Cardiac
None,10.1117/1.JMI.3.4.046002,2016,PROMISE12,Cardiac
None,10.3969/j.issn.1673-4254.2017.03.12,2017,PROMISE12,Cardiac
None,10.18383/j.tom.2017.00005,2017,PROMISE12,Cardiac
None,10.1088/1361-6560/ab8cd6,2020,PROMISE12,Cardiac
None,10.1007/s11548-018-1841-4,2018,PROMISE12,Cardiac
None,10.3390/cancers11091235,2019,PROMISE12,Cardiac
None,10.1002/mp.14337,2020,PROMISE12,Cardiac
None,10.3390/cancers12051204,2020,PROMISE12,Cardiac
None,10.1371/journal.pone.0211944,2019,PROMISE12,Cardiac
None,10.1155/2019/1464592,2019,PROMISE12,Cardiac
None,10.1117/1.JMI.6.1.014501,2019,PROMISE12,Cardiac
None,10.1038/s41598-019-57046-x,2020,PROMISE12,Cardiac
None,10.1002/mp.14327,2020,PROMISE12,Cardiac
None,10.3390/s20113183,2020,PROMISE12,Cardiac
None,10.1117/12.2216424,2016,PROMISE12,Cardiac
None,10.1002/mp.13416,2019,PROMISE12,Cardiac
None,10.1117/1.JMI.6.4.044001,2019,PROMISE12,Cardiac
None,10.1016/j.media.2019.04.008,2019,PROMISE12,Cardiac
None,10.1109/TNNLS.2018.2870182,2019,PROMISE12,Cardiac
None,10.1038/s41467-018-07619-7,2018,PROMISE12,Cardiac
None,10.1117/12.2512282,2019,PROMISE12,Cardiac
None,10.1117/1.JMI.5.2.021208,2018,PROMISE12,Cardiac
None,10.1007/s10278-018-0169-5,2019,PROMISE12,Cardiac
None,10.1117/1.JMI.6.1.011003,2019,PROMISE12,Cardiac
None,10.1117/1.JMI.5.4.044507,2018,PROMISE12,Cardiac
None,10.1117/1.JMI.5.4.044501,2018,PROMISE12,Cardiac
None,10.1007/s00066-020-01607-x,2020,PROMISE12,Cardiac
None,10.1016/j.media.2019.101558,2019,PROMISE12,Cardiac
None,10.1109/TMI.2020.2973595,2020,PROMISE12,Cardiac
None,10.1007/s00066-018-1348-5,2019,PROMISE12,Cardiac
None,10.1016/j.cmpb.2022.106883,2022,Medical Decathlon,Prostate
None,10.1007/s42979-022-01166-1,2022,Medical Decathlon,Prostate
None,10.1002/jmri.27978,2022,Medical Decathlon,Prostate
None,10.3390/bioengineering9090467,2022,Medical Decathlon,Prostate
None,10.3390/diagnostics12071690,2022,Medical Decathlon,Prostate
None,10.3390/bioengineering9080343,2022,Medical Decathlon,Prostate
None,10.3389/fnins.2022.1009581,2022,Medical Decathlon,Prostate
None,10.1007/s11548-022-02730-z,2022,Medical Decathlon,Prostate
None,10.1016/j.media.2022.102596,2022,Medical Decathlon,Prostate
None,10.1038/s41598-022-16828-6,2022,Medical Decathlon,Prostate
None,10.3389/fneur.2021.609646,2021,BRATS,Brain
None,10.3174/ajnr.A6875,2021,BRATS,Brain
None,10.1109/JBHI.2020.2991043,2020,BRATS,Brain
None,10.1002/ana.26303,2022,BRATS,Brain
None,10.1117/1.JMI.9.1.014001,2022,BRATS,Brain
None,10.1117/1.JMI.8.2.024002,2021,BRATS,Brain
None,10.1093/neuonc/noab238,2022,BRATS,Brain
None,10.1186/s12880-021-00728-8,2022,BRATS,Brain
None,10.1007/978-3-030-46640-4_6,2019,BRATS,Brain
None,10.1007/s12021-020-09477-5,2021,BRATS,Brain
