name,DOI,publication_year,dataset_used
A Deep Learning Framework for Image Super-Resolution for Late Gadolinium Enhanced Cardiac MRI,10.23919/cinc53138.2021.9662790,2021,LA
A 3D Convolutional Neural Network with Gradient Guidance for Image Super-Resolution of Late Gadolinium Enhanced Cardiac MRI,10.1109/embc48229.2022.9871783,2022,LA
Hierarchical Consistency Regularized Mean Teacher for Semi-supervised 3D Left Atrium Segmentation,10.1109/embc46164.2021.9629941,2021,LA
Multiresolution Aggregation Transformer UNet Based on Multiscale Input and Coordinate Attention for Medical Image Segmentation,10.3390/s22103820,2022,LA
Introduction of Lazy Luna an automatic software-driven multilevel comparison of ventricular function quantification in cardiovascular magnetic resonance imaging,10.1038/s41598-022-10464-w,2022,LA
Transformer-based multilevel region and edge aggregation network for magnetic resonance image segmentation,10.1016/j.compbiomed.2022.106427,2022,LA
Reinforcement Learning to Improve Image-Guidance of Ablation Therapy for Atrial Fibrillation,10.3389/fphys.2021.733139,2021,LA
A contrastive consistency semi-supervised left atrium segmentation model,10.1016/j.compmedimag.2022.102092,2022,LA
Bayesian Estimation of Geometric Morphometric Landmarks for Simultaneous Localization of Multiple Anatomies in Cardiac CT Images,10.3390/e23010064,2021,LA
A global benchmark of algorithms for segmenting the left atrium from late gadolinium-enhanced cardiac magnetic resonance imaging,10.1016/j.media.2020.101832,2020,LA
Mutual consistency learning for semi-supervised medical image segmentation,10.1016/j.media.2022.102530,2022,LA
Semi-supervised 3D Medical Image Segmentation Based on Dual-task Consistent joint Learning and Task-Level Regularization,10.1109/tcbb.2022.3144428,2022,LA
Cardiac Magnetic Resonance Image Segmentation Method Based on Multi-Scale Feature Fusion and Sequence Relationship Learning,10.3390/s23020690,2023,LA
JAS-GAN: Generative Adversarial Network Based Joint Atrium and Scar Segmentations on Unbalanced Atrial Targets,10.1109/jbhi.2021.3077469,2022,LA
Deep learning-based automatic segmentation of images in cardiac radiography: A promising challenge,10.1016/j.cmpb.2022.106821,2022,LA
Semi-supervised Unpaired Medical Image Segmentation Through Task-affinity Consistency,10.1109/tmi.2022.3213372,2022,LA
Anti-Interference From Noisy Labels: Mean-Teacher-Assisted Confident Learning for Medical Image Segmentation,10.1109/tmi.2022.3176915,2022,LA
TMS-Net: A segmentation network coupled with a run-time quality control method for robust cardiac image segmentation,10.1016/j.compbiomed.2022.106422,2022,LA
Semi-supervised medical image segmentation using adversarial consistency learning and dynamic convolution network,10.1109/tmi.2022.3225687,2022,LA
Whole‐Heart High‐Resolution Late Gadolinium Enhancement: Techniques and Clinical Applications,10.1002/jmri.27732,2021,LA
Comparative Analysis of Temperature Rise between Convective Heat Transfer Method and Computational Fluid Dynamics Method in an Anatomy-Based Left Atrium Model during Pulsed Field Ablation: A Computational Study,10.3390/jcdd10020056,2023,LA
Effect of Anisotropic Electrical Conductivity Induced by Fiber Orientation on Ablation Characteristics of Pulsed Field Ablation in Atrial Fibrillation Treatment: A Computational Study,10.3390/jcdd9100319,2022,LA
Understanding PITX2-Dependent Atrial Fibrillation Mechanisms through Computational Models,10.3390/ijms22147681,2021,LA
