name,DOI,publication_year,dataset_used
nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,10.1038/s41592-020-01008-z,2021,ACDC
Automated cardiovascular magnetic resonance image analysis with fully convolutional networks,10.1186/s12968-018-0471-x,2018,ACDC
Deep Learning for Cardiac Image Segmentation: A Review,10.3389/fcvm.2020.00025,2019,ACDC
Deep Learning for Segmentation Using an Open Large-Scale Dataset in 2D Echocardiography,10.1109/tmi.2019.2900516,2019,ACDC
Multi-Scale Self-Guided Attention for Medical Image Segmentation,10.1109/jbhi.2020.2986926,2021,ACDC
State-of-the-Art Deep Learning in Cardiovascular Image Analysis,10.1016/j.jcmg.2019.06.009,2019,ACDC
Evaluation of algorithms for Multi-Modality Whole Heart Segmentation: An open-access grand challenge,10.1016/j.media.2019.101537,2019,ACDC
Learning a Probabilistic Model for Diffeomorphic Registration,10.1109/tmi.2019.2897112,2019,ACDC
Automatic 3D Bi-Ventricular Segmentation of Cardiac Images by a Shape-Refined Multi- Task Deep Learning Approach,10.1109/tmi.2019.2894322,2019,ACDC
Reference ranges (“normal values”) for cardiovascular magnetic resonance (CMR) in adults and children: 2020 update,10.1186/s12968-020-00683-3,2020,ACDC
Machine learning in cardiovascular magnetic resonance: basic concepts and applications,10.1186/s12968-019-0575-y,2019,ACDC
Loss odyssey in medical image segmentation,10.1016/j.media.2021.102035,2021,ACDC
Convolutional Neural Network With Shape Prior Applied to Cardiac MRI Segmentation,10.1109/jbhi.2018.2865450,2019,ACDC
Fully Automated Quality-Controlled Cardiac Analysis From CMR,10.1016/j.jcmg.2019.05.030,2020,ACDC
Disentangled representation learning in cardiac image analysis,10.1016/j.media.2019.101535,2019,ACDC
Image-Based Cardiac Diagnosis With Machine Learning: A Review,10.3389/fcvm.2020.00001,2020,ACDC
Multi-Centre Multi-Vendor and Multi-Disease Cardiac Segmentation: The M&amp;Ms Challenge,10.1109/tmi.2021.3090082,2021,ACDC
Deep co-training for semi-supervised image segmentation,10.1016/j.patcog.2020.107269,2020,ACDC
Deep Learning in Cardiology,10.1109/rbme.2018.2885714,2019,ACDC
Challenges in diffusion MRI tractography – Lessons learned from international benchmark competitions,10.1016/j.mri.2018.11.014,2019,ACDC
