DOI,poci,openalex,coci,venue,publication_year,is_oa
10.1016/j.phro.2019.11.006,True,True,True,Physics and Imaging in Radiation Oncology,2019,True
10.3390/app11020782,True,True,True,Applied sciences,2021,True
10.3390/jimaging8050133,True,True,True,Journal of Imaging,2022,True
10.1117/1.jmi.7.4.046501,True,True,False,Journal of medical imaging,2020,True
10.1109/tmi.2020.3006437,True,True,True,IEEE Transactions on Medical Imaging,2020,True
10.1002/mp.15268,True,True,True,Medical Physics,2021,False
10.1117/1.jmi.9.2.024001,True,True,False,Journal of medical imaging,2022,True
10.3390/diagnostics11020354,True,True,True,Diagnostics,2021,True
10.1109/isbi.2019.8759295,True,True,True,International Symposium on Biomedical Imaging,2019,False
10.1148/rycan.2021200024,True,True,True,Radiology,2021,True
10.1186/s40658-021-00426-y,False,True,True,EJNMMI Physics,2021,True
10.21037/qims-21-459,True,True,False,Quantitative imaging in medicine and surgery,2022,True
10.3389/fonc.2020.01762,True,True,True,Frontiers in Oncology,2020,True
10.1038/s41391-022-00537-2,True,True,True,Prostate Cancer and Prostatic Diseases,2022,True
10.1109/tmi.2021.3055428,False,True,True,IEEE Transactions on Medical Imaging,2020,True
10.1038/s41467-021-26216-9,True,True,True,Nature Communications,2021,True
10.1007/s10334-020-00871-3,True,True,True,Magnetic Resonance Materials in Physics Biology and Medicine,2021,True
10.1109/access.2021.3100585,True,True,True,IEEE Access,2021,True
10.1007/s10334-022-01003-9,True,True,True,Magnetic Resonance Materials in Physics Biology and Medicine,2022,True
10.21037/qims-21-175,True,True,False,Quantitative imaging in medicine and surgery,2021,True
10.2214/ajr.19.22347,True,True,True,American Journal of Roentgenology,2020,True
10.3390/diagnostics12020289,True,True,True,Diagnostics,2022,True
10.3390/s21144758,True,True,True,Sensors,2021,True
10.3390/cancers13236138,True,True,True,Cancers,2021,True
10.1155/2020/8861035,True,True,True,Computational and Mathematical Methods in Medicine,2020,True
10.1007/s00259-021-05497-8,True,True,True,European Journal of Nuclear Medicine and Molecular Imaging,2022,True
10.1109/tmi.2020.3025517,True,True,True,IEEE Transactions on Medical Imaging,2021,True
10.1155/2021/4553832,True,True,True,Computational Intelligence and Neuroscience,2021,True
10.1016/j.ijrobp.2021.12.153,True,True,True,International Journal of Radiation Oncology Biology Physics,2022,False
10.1109/access.2020.3027738,True,True,True,IEEE Access,2020,True
10.1007/s11263-020-01321-2,True,False,False,International Journal of Computer Vision,2020,True
10.1371/journal.pone.0253829,True,True,True,PLOS ONE,2021,True
10.3390/diagnostics10090714,False,True,True,Diagnostics,2020,True
10.1186/s13244-021-01010-9,True,True,True,Insights Into Imaging,2021,True
10.1016/j.media.2020.101845,True,True,True,Medical Image Analysis,2021,True
10.3389/fninf.2021.782262,True,True,True,Frontiers in Neuroinformatics,2021,True
10.3390/diagnostics11111964,False,True,True,Diagnostics,2021,True
10.3390/jimaging6090083,True,True,True,Journal of Imaging,2020,True
10.1097/ju.0000000000001783,True,True,False,The Journal of Urology,2021,True
10.1186/s13014-022-02035-0,True,True,True,Radiation Oncology,2022,True
10.3390/s21237936,True,True,True,Sensors,2021,True
10.1177/17562872221128791,True,True,True,Therapeutic Advances in Urology,2022,True
10.3390/bioengineering9080343,True,True,True,Bioengineering,2022,True
10.1117/12.2581893,True,True,False,Proceedings of SPIE,2021,True
10.1016/j.media.2022.102596,False,True,True,Medical Image Analysis,2022,True
10.1186/s41747-022-00288-8,True,True,True,European Radiology Experimental,2022,True
10.21037/qims-22-332,True,True,False,Quantitative imaging in medicine and surgery,2022,True
10.1016/j.asmr.2022.04.020,True,True,True,"Arthroscopy, sports medicine, and rehabilitation",2022,True
10.4172/2167-0870.1000e117,True,True,False,Journal of clinical trials,2014,True
10.1016/j.media.2017.07.004,True,True,True,Medical Image Analysis,2017,True
10.1109/tmi.2015.2496296,True,True,True,IEEE Transactions on Medical Imaging,2016,True
10.1038/srep41261,True,True,True,Scientific Reports,2017,True
10.1016/j.acra.2016.03.010,True,True,True,Academic Radiology,2016,True
10.1117/12.2082255,True,True,True,Proceedings of SPIE,2015,True
10.1007/s10278-017-9964-7,True,True,True,Journal of Digital Imaging,2017,True
10.1007/s10278-016-9890-0,True,True,True,Journal of Digital Imaging,2016,True
10.1186/s12880-015-0068-x,True,True,True,BMC Medical Imaging,2015,True
10.1117/1.jmi.2.2.025002,True,True,True,Journal of medical imaging,2015,True
10.1155/2014/789561,True,True,True,BioMed Research International,2014,True
10.1117/1.jmi.4.4.041307,True,True,True,Journal of medical imaging,2017,True
