title,doi,publication_year,abstract,task
DPAFNet: A Residual Dual-Path Attention-Fusion Convolutional Neural Network for Multimodal Brain Tumor Segmentation,https://doi.org/10.1016/j.bspc.2022.104037,2023,"an efficient 3d model dpafnet for brain tumor segmentation based on dualpath dp module and multiscale attention fusion maf module is proposed a novel 3d feature extraction block consisting of dp module and maf module is proposed the maf module is used to aggregate global and local information on channel level a 3d idcm module which is beneficial to dense pixellevel prediction is introduced to merge feature maps with different receptive fields the dice scores of et wt and tc on brats2018 brats2019 and brats2020 datasets all achieve competitive segmentation accuracy brain tumors are highly hazardous and precise automated segmentation of brain tumor subregions has great importance and research significance on the diagnosis and treatment of diseases rapid advances in deep learning make accurate and efficient automatic segmentation more possible but there are challenges in this paper an efficient 3d segmentation model dpafnet based on dualpath dp module and multiscale attention fusion maf module is proposed in dpafnet the dual path convolution is applied to broaden the network scale and residual connection is introduced to avoid network degradation an attention fusion module is proposed to aggregate channel level global and local information in which feature maps of different scales are fused to obtain features that are enriched in semantic information this makes the object information of small tumors get full attention furthermore the 3d iterative dilated convolution merging idcm module expands the receptive field and improves the ability of context awareness ablation experiments verify the optimal combination of dilation rate for the dilated convolution merging module and demonstrate the enhancement of segmentation accuracy due to the postprocessing method comparative experiments of this study on brats2018 brats2019 and brats2020 are promising and provide a promising precision and dice score compared to related work the proposed dpafnet achieves dice score of 795 900 and 839 in the enhancing tumor whole tumor and tumor core on brats2018 respectively on brats2019 it achieves dice score of 782 890 and 812 in the enhancing tumor whole tumor and tumor core respectively",Brain
DPAFNet: A Residual Dual-Path Attention-Fusion Convolutional Neural Network for Multimodal Brain Tumor Segmentation,https://doi.org/10.1016/j.bspc.2022.104037,2023,"an efficient 3d model dpafnet for brain tumor segmentation based on dualpath dp module and multiscale attention fusion maf module is proposed a novel 3d feature extraction block consisting of dp module and maf module is proposed the maf module is used to aggregate global and local information on channel level a 3d idcm module which is beneficial to dense pixellevel prediction is introduced to merge feature maps with different receptive fields the dice scores of et wt and tc on brats2018 brats2019 and brats2020 datasets all achieve competitive segmentation accuracy brain tumors are highly hazardous and precise automated segmentation of brain tumor subregions has great importance and research significance on the diagnosis and treatment of diseases rapid advances in deep learning make accurate and efficient automatic segmentation more possible but there are challenges in this paper an efficient 3d segmentation model dpafnet based on dualpath dp module and multiscale attention fusion maf module is proposed in dpafnet the dual path convolution is applied to broaden the network scale and residual connection is introduced to avoid network degradation an attention fusion module is proposed to aggregate channel level global and local information in which feature maps of different scales are fused to obtain features that are enriched in semantic information this makes the object information of small tumors get full attention furthermore the 3d iterative dilated convolution merging idcm module expands the receptive field and improves the ability of context awareness ablation experiments verify the optimal combination of dilation rate for the dilated convolution merging module and demonstrate the enhancement of segmentation accuracy due to the postprocessing method comparative experiments of this study on brats2018 brats2019 and brats2020 are promising and provide a promising precision and dice score compared to related work the proposed dpafnet achieves dice score of 795 900 and 839 in the enhancing tumor whole tumor and tumor core on brats2018 respectively on brats2019 it achieves dice score of 782 890 and 812 in the enhancing tumor whole tumor and tumor core respectively",Brain
An effective CNN and Transformer complementary network for medical image segmentation,https://doi.org/10.1016/j.patcog.2022.109228,2023,"the transformer network was originally proposed for natural language processing due to its powerful representation ability for longrange dependency it has been extended for vision tasks in recent years to fully utilize the advantages of transformers and convolutional neural networks cnns we propose a cnn and transformer complementary network ctcnet for medical image segmentation we first design two encoders by swin transformers and residual cnns to produce complementary features in transformer and cnn domains respectively then we crosswisely concatenate these complementary features to propose a crossdomain fusion block cfb for effectively blending them in addition we compute the correlation between features from the cnn and transformer domains and apply channel attention to the selfattention features by transformers for capturing dual attention information we incorporate crossdomain fusion feature correlation and dual attention together to propose a feature complementary module fcm for improving the representation ability of features finally we design a swin transformer decoder to further improve the representation ability of longrange dependencies and propose to use skip connections between the transformer decoded features and the complementary features for extracting spatial details contextual semantics and longrange information skip connections are performed in different levels for enhancing multiscale invariance experimental results show that our ctcnet significantly surpasses the stateoftheart image segmentation models based on cnns transformers and even transformer and cnn combined models designed for medical image segmentation it achieves superior performance on different medical applications including multiorgan segmentation and cardiac segmentation",Cardiac
Swin-Unet: Unet-Like Pure Transformer for Medical Image Segmentation,https://doi.org/10.1007/978-3-031-25066-8_9,2023,"abstractin the past few years convolutional neural networks cnns have achieved milestones in medical image analysis in particular deep neural networks based on ushaped architecture and skipconnections have been widely applied in various medical image tasks however although cnn has achieved excellent performance it cannot learn global semantic information interaction well due to the locality of convolution operation in this paper we propose swinunet which is an unetlike pure transformer for medical image segmentation the tokenized image patches are fed into the transformerbased ushaped encoderdecoder architecture with skipconnections for localglobal semantic feature learning specifically we use a hierarchical swin transformer with shifted windows as the encoder to extract context features and a symmetric swin transformerbased decoder with a patch expanding layer is designed to perform the upsampling operation to restore the spatial resolution of the feature maps under the direct downsampling and upsampling of the inputs and outputs by 4times experiments on multiorgan and cardiac segmentation tasks demonstrate that the pure transformerbased ushaped encoderdecoder network outperforms those methods with fullconvolution or the combination of transformer and convolution the codes have been publicly available at the link httpsgithubcomhucaofightingswinunetkeywordstransformerselfattentionmedical image segmentation",Cardiac
Multiscale lightweight 3D segmentation algorithm with attention mechanism: Brain tumor image segmentation,https://doi.org/10.1016/j.eswa.2022.119166,2023,"this study proposes a lightweight automatic 3d algorithm with an attention mechanism for the segmentation of braintumor images to address the challenges accurate segmentation of braintumor regions in medical images is essential in patient diagnosis using the 3d unet however existed 3d networks lack the ability to automatically focus on smaller targets and have low precision on segmenting braintumor regions existed 3d networks use numerous parameters and are difficult to deploy in practice the 3dunet serves as the basic structure of the proposed approach 1 this study replaces the standard convolutions with hierarchical decoupled convolutions to reduce the number of parameters 2 this study adds dilated convolutions to enhance the ability of the network to express multiscale information in the bottom convolution module 3 this study introduces an attention mechanism to the output layer so that the network can automatically focus on the region of the tumor and use the relationships among the enhancing tumor whole tumor and tumor core to increase segmentation precision the results of the proposed network model applied to the brats 2019 test set revealed that the dice coefficients of the proposed adhdcnet for enhancing tumor whole tumor and tumor core were 7791 8994 and 8389 respectively using 030 m parameters and 2581 g floatingpoint operations extensive experiments on the brats 2018 brats 2019 and brats 2020 dadasets show that the proposed model has better potential with regard to the efficient segmentation of small braintumor regions",Brain
Multiscale lightweight 3D segmentation algorithm with attention mechanism: Brain tumor image segmentation,https://doi.org/10.1016/j.eswa.2022.119166,2023,"this study proposes a lightweight automatic 3d algorithm with an attention mechanism for the segmentation of braintumor images to address the challenges accurate segmentation of braintumor regions in medical images is essential in patient diagnosis using the 3d unet however existed 3d networks lack the ability to automatically focus on smaller targets and have low precision on segmenting braintumor regions existed 3d networks use numerous parameters and are difficult to deploy in practice the 3dunet serves as the basic structure of the proposed approach 1 this study replaces the standard convolutions with hierarchical decoupled convolutions to reduce the number of parameters 2 this study adds dilated convolutions to enhance the ability of the network to express multiscale information in the bottom convolution module 3 this study introduces an attention mechanism to the output layer so that the network can automatically focus on the region of the tumor and use the relationships among the enhancing tumor whole tumor and tumor core to increase segmentation precision the results of the proposed network model applied to the brats 2019 test set revealed that the dice coefficients of the proposed adhdcnet for enhancing tumor whole tumor and tumor core were 7791 8994 and 8389 respectively using 030 m parameters and 2581 g floatingpoint operations extensive experiments on the brats 2018 brats 2019 and brats 2020 dadasets show that the proposed model has better potential with regard to the efficient segmentation of small braintumor regions",Brain
Diagnosis of arrhythmias with few abnormal ECG samples using metric-based meta learning,https://doi.org/10.1016/j.compbiomed.2022.106465,2023,"a major challenge in artificial intelligence based ecg diagnosis lies that its difficult to obtain sufficient annotated training samples for each rhythm type especially for rare diseases which makes many approaches fail to achieve the desired performance with limited ecg records in this paper we propose a meta siamese network msn based on metric learning to achieve high accuracy for automatic ecg arrhythmias diagnosis with limited ecg records first the ecg signals from three different ecg datasets are preprocessed through resampling wavelet denoising rwave localization heartbeat segmentation and zscore normalization then an ecg dataset with limited records is constructed to verify the performance of the proposed model and explore variation of model performance with the sample size second a metricbased metalearning framework is proposed to address the challenge of fewshot learning for automatic ecg diagnosis of cardiac arrhythmia and siamese network is employed to achieve arrhythmia diagnosis based on similarity metric finally the nway kshot metatesting strategy is proposed based on the siamese network with double inputs and the experimental results demonstrate that the proposed strategy can effectively improve the robustness of the proposed model",Cardiac
Automated Brain Tumor Diagnosis Using Deep Residual U-Net Segmentation燤odel,https://doi.org/10.32604/cmc.2023.032816,2023,"automated segmentation and classification of biomedical images act as a vital part of the diagnosis of brain tumors bt a primary tumor brain analysis suggests a quicker response from treatment that utilizes for improving patient survival rate the location and classification of bts from huge medicinal images database obtained from routine medical tasks with manual processes are a higher cost together in effort and time an automatic recognition place and classifier process was desired and useful this study introduces an automated deep residual unet segmentation with classification model adruscm for brain tumor diagnosis the presented adruscm model majorly focuses on the segmentation and classification of bt to accomplish this the presented adruscm model involves wiener filtering wf based preprocessing to eradicate the noise that exists in it in addition the adruscm model follows deep residual unet segmentation model to determine the affected brain regions moreover vgg19 model is exploited as a feature extractor finally tunicate swarm optimization tso with gated recurrent unit gru model is applied as a classification model and the tso algorithm effectually tunes the gru hyperparameters the performance validation of the adruscm model was tested utilizing figshare dataset and the outcomes pointed out the better performance of the adruscm approach on recent approaches",Brain
MBANet: A 3D convolutional neural network with multi-branch attention for brain tumor segmentation from MRI images,https://doi.org/10.1016/j.bspc.2022.104296,2023,"a novel network mbanet to segment multimodal brain tumors we propose a 3d shuffle attention sa multibranch attention to focus on tumor regions we add 3d sa attention to skip connections to address the semantic gap problem with spatial and channel aggregation we propose a bu module that not only perfectly integrates with 3d sa attention but also reduces computational resource consumption mbanet increases the segmentation performance on brats 2018 and brats 2019 validation datasets compared with other stateoftheart methods more than half of brain tumors are malignant tumors so there is a need for fast and accurate segmentation of tumor regions in brain magnetic resonance imaging mri images traditional 2d brain tumor segmentation methods seriously ignore the spatial context features of brain tumor mri images so how to achieve accurate segmentation of brain tumor regions with multiple modalities is the main problem the paper proposes a 3d convolutional neural network with 3d multibranch attention mbanet first the optimized shuffle unit is used to form the basic unit bu module of mbanet in the bu module the group convolution is used to perform convolution operation after the input channel is split and the channel shuffle is used to scramble the convolutional channels after fusion then mbanet uses a novel multibranch 3d shuffle attention sa module as the attention layer in the encoder the 3d sa module groups along the channel dimension and divides the feature maps into small features for each small feature the 3d sa module builds both channel attention and spatial attention while adopting the bu module in addition in order to recover the resolution of the upsampling semantic features better a 3d sa module is also used in the skip connection of mbanet experiments on the brats 2018 and brats 2019 show that the dice of et wt and tc reach 8018 8980 8547 and 7821 8979 8304 respectively the excellent segmentation performance shows that mbanet is significantly improved compared with other stateoftheart methods",Brain
MBANet: A 3D convolutional neural network with multi-branch attention for brain tumor segmentation from MRI images,https://doi.org/10.1016/j.bspc.2022.104296,2023,"a novel network mbanet to segment multimodal brain tumors we propose a 3d shuffle attention sa multibranch attention to focus on tumor regions we add 3d sa attention to skip connections to address the semantic gap problem with spatial and channel aggregation we propose a bu module that not only perfectly integrates with 3d sa attention but also reduces computational resource consumption mbanet increases the segmentation performance on brats 2018 and brats 2019 validation datasets compared with other stateoftheart methods more than half of brain tumors are malignant tumors so there is a need for fast and accurate segmentation of tumor regions in brain magnetic resonance imaging mri images traditional 2d brain tumor segmentation methods seriously ignore the spatial context features of brain tumor mri images so how to achieve accurate segmentation of brain tumor regions with multiple modalities is the main problem the paper proposes a 3d convolutional neural network with 3d multibranch attention mbanet first the optimized shuffle unit is used to form the basic unit bu module of mbanet in the bu module the group convolution is used to perform convolution operation after the input channel is split and the channel shuffle is used to scramble the convolutional channels after fusion then mbanet uses a novel multibranch 3d shuffle attention sa module as the attention layer in the encoder the 3d sa module groups along the channel dimension and divides the feature maps into small features for each small feature the 3d sa module builds both channel attention and spatial attention while adopting the bu module in addition in order to recover the resolution of the upsampling semantic features better a 3d sa module is also used in the skip connection of mbanet experiments on the brats 2018 and brats 2019 show that the dice of et wt and tc reach 8018 8980 8547 and 7821 8979 8304 respectively the excellent segmentation performance shows that mbanet is significantly improved compared with other stateoftheart methods",Brain
